jp,cn,context
戦時特例法,战时特例法,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:148。仅作语境审校参考，不自动替换。；2026-09-09 本篇/AL对齐及中文军衔修订，历史基线不回写。
戦術機,战术机,全篇；主库术语表；来源 imperial-old:9。仅作语境审校参考，不自动替换。
戦術機部隊,战术机部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:149。仅作语境审校参考，不自动替换。
戦術歩行戦闘機,战术步行战斗机,全篇；主库术语表；来源 imperial-old:150。仅作语境审校参考，不自动替换。；2026-09-09 本篇/AL对齐及中文军衔修订，历史基线不回写。
戦術鬼,战术魔鬼,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:169。仅作语境审校参考，不自动替换。
戦車兵,坦克兵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:151。仅作语境审校参考，不自动替换。
戦車級,战车级,全篇；主库术语表；来源 imperial-old:40。仅作语境审校参考，不自动替换。
摂家,摄家,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:24。仅作语境审校参考，不自动替换。
撃震,击震,全篇；主库术语表；来源 imperial-old:119。仅作语境审校参考，不自动替换。
攻性接敵,主动接敌,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:152。仅作语境审校参考，不自动替换。
政威大将軍,政威大将军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:41。仅作语境审校参考，不自动替换。
敷設弾,布雷弹,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:153。仅作语境审校参考，不自动替换。
斑鳩,斑鸠,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:44。仅作语境审校参考，不自动替换。
斯衛,斯卫,全篇；主库术语表；来源 imperial-old:2。仅作语境审校参考，不自动替换。
斯衛衛士,斯卫卫士,全篇；主库术语表；来源 imperial-old:120。仅作语境审校参考，不自动替换。
斯衛軍,斯卫军,全篇；主库术语表；来源 imperial-old:8。仅作语境审校参考，不自动替换。
斯衛軍衛士,斯卫军卫士,全篇；主库术语表；来源 imperial-old:121。仅作语境审校参考，不自动替换。
日本帝国,日本帝国,全篇；主库术语表；来源 imperial-old:50。仅作语境审校参考，不自动替换。
月詠真那,月咏真那,全篇；主库术语表；来源 imperial-old:154。仅作语境审校参考，不自动替换。
本国,本国,全篇；主库术语表；来源 imperial-old:155。仅作语境审校参考，不自动替换。
機械化歩兵装甲,机械化步兵装甲,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:57。仅作语境审校参考，不自动替换。
武御雷,武御雷,全篇；主库术语表；来源 imperial-old:122。仅作语境审校参考，不自动替换。
死の８分,死亡8分钟,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:51。仅作语境审校参考，不自动替换。
海兵隊,海军陆战队,全篇；主库术语表；来源 imperial-old:156。仅作语境审校参考，不自动替换。
海軍,海军,全篇；主库术语表；来源 imperial-old:31。仅作语境审校参考，不自动替换。
烏が岳,乌岳,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:157。仅作语境审校参考，不自动替换。
煌武院悠陽,煌武院悠阳,全篇；主库术语表；来源 imperial-old:105。仅作语境审校参考，不自动替换。
瑞鶴,瑞鹤,全篇；主库术语表；来源 imperial-old:29。仅作语境审校参考，不自动替换。
男,男性,全篇；主库术语表；来源 imperial-old:22。仅作语境审校参考，不自动替换。
異星起源種,异星起源种,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:67。仅作语境审校参考，不自动替换。
直援,直接支援,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:90。仅作语境审校参考，不自动替换。
看護師,护士,全篇；主库术语表；来源 imperial-old:91。仅作语境审校参考，不自动替换。
短刀,短刀,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:123。仅作语境审校参考，不自动替换。
突撃前衛長,突击前卫长,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:158。仅作语境审校参考，不自动替换。
突撃砲,突击炮,全篇；主库术语表；来源 imperial-old:124。仅作语境审校参考，不自动替换。
突撃級,突击级,全篇；主库术语表；来源 imperial-old:45。仅作语境审校参考，不自动替换。
管制ユニット,管制单元,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:106。仅作语境审校参考，不自动替换。
篁唯依,篁唯依,全篇；主库术语表；来源 imperial-old:125。仅作语境审校参考，不自动替换。
米国,美国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:68。仅作语境审校参考，不自动替换。
米軍,美军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:42。仅作语境审校参考，不自动替换。
継承,继承,全篇；主库术语表；来源 imperial-old:107。仅作语境审校参考，不自动替换。
緊急破壊脱出,紧急破坏逃生,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:69。仅作语境审校参考，不自动替换。
総合戦闘武術評価試験,综合战斗武术评价考试,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:182。仅作语境审校参考，不自动替换。
総戦武,综战武,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；用户审定；来源 imperial-old:181。仅作语境审校参考，不自动替换。
職員,工作人员,全篇；主库术语表；来源 imperial-old:159。仅作语境审校参考，不自动替换。
能登和泉,能登和泉,全篇；主库术语表；来源 imperial-old:160。仅作语境审校参考，不自动替换。
自律圧力注射,自律压力注射,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:174。仅作语境审校参考，不自动替换。
艦隊,舰队,全篇；主库术语表；来源 imperial-old:30。仅作语境审校参考，不自动替换。
蓮川,莲川,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:46。仅作语境审校参考，不自动替换。
衛士,卫士,全篇；主库术语表；来源 imperial-old:4。仅作语境审校参考，不自动替换。
装弾筒付翼安定徹甲弾,尾翼稳定脱壳穿甲弹,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:161。仅作语境审校参考，不自动替换。
要塞級,要塞级,全篇；主库术语表；来源 imperial-old:52。仅作语境审校参考，不自动替换。
要撃級,要击级,全篇；主库术语表；来源 imperial-old:79。仅作语境审校参考，不自动替换。
親藩,亲藩,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:80。仅作语境审校参考，不自动替换。
許嫁,未婚夫,全篇；本章审定；来源 imperial-old:61。仅作语境审校参考，不自动替换。
試製98式,试制98式,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:108。仅作语境审校参考，不自动替换。
試製強化装備,试制强化装备,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:172。仅作语境审校参考，不自动替换。
試製９８式,试制98式,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:70。仅作语境审校参考，不自动替换。
譜代,谱代,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:25。仅作语境审校参考，不自动替换。
贖罪,赎罪,全篇；主库术语表；来源 imperial-old:162。仅作语境审校参考，不自动替换。
跳躍ユニット,跳跃单元,全篇；主库术语表；来源 imperial-old:92。仅作语境审校参考，不自动替换。
軍人,军人,全篇；主库术语表；来源 imperial-old:93。仅作语境审校参考，不自动替换。
軍警,军警,全篇；主库术语表；来源 imperial-old:163。仅作语境审校参考，不自动替换。
軍隊,军队,全篇；主库术语表；来源 imperial-old:53。仅作语境审校参考，不自动替换。
近接長刀,近接长刀,全篇；主库术语表；来源 imperial-old:164。仅作语境审校参考，不自动替换。
近畿地方,近畿地区,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:126。仅作语境审校参考，不自动替换。
部隊,部队,全篇；主库术语表；来源 imperial-old:7。仅作语境审校参考，不自动替换。
重金属雲,重金属云,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:58。仅作语境审校参考，不自动替换。
鎧衣左近,铠衣左近,全篇；主库术语表；来源 imperial-old:127。仅作语境审校参考，不自动替换。
長刀,长刀,全篇；主库术语表；来源 imperial-old:81。仅作语境审校参考，不自动替换。
隊員,部队成员,全篇；主库术语表；来源 imperial-old:165。仅作语境审校参考，不自动替换。
隊形扇三型,扇形三型队形,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:166。仅作语境审校参考，不自动替换。
隊長,队长,全篇；主库术语表；来源 imperial-old:37。仅作语境审校参考，不自动替换。
面制圧,区域压制,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:171。仅作语境审校参考，不自动替换。
響,响,全篇；主库术语表；来源 imperial-old:18。仅作语境审校参考，不自动替换。
鬼姫,鬼姬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:168。仅作语境审校参考，不自动替换。
９１式騎兵銃,91式卡宾枪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；本章审定；来源 imperial-old:173。仅作语境审校参考，不自动替换。
Ｂ小隊,B小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 全篇；主库术语表；来源 imperial-old:167。仅作语境审校参考，不自动替换。
ＢＥＴＡ,BETA,全篇；用户审定；来源 imperial-old:5。仅作语境审校参考，不自动替换。
