jp,cn,context
ラザフォード場,卢瑟福力场,"仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | AL 五篇；pf-al-r0-v19 confirmed；repeated official Alternative exact pairs, including alternative:alternative16.rio:1144892310:54643:194 and alternative:alternative16.rio:1146729186:58653:79；来源 pf-al-table:57。仅作语境审校参考，不自动替换。"
リーナ,莉娜,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
レイチェル,蕾切尔,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。；来源 pf-al-table:48。仅作语境审校参考，不自动替换。
レインダンサーズ,雨舞者,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
レインダンス中隊,雨舞中队,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；用户最终裁定；部队名。；来源 pf-al-table:35。仅作语境审校参考，不自动替换。
レインダンス０１,雨舞01,AL 五篇；用户最终裁定；数字呼号。；来源 pf-al-table:54。仅作语境审校参考，不自动替换。
レインダンスＡ,雨舞A,AL 五篇；沿用用户确认的雨舞呼号规则。；来源 pf-al-table:45。仅作语境审校参考，不自动替换。
レイン・ダンサーズ,雨舞者,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | AL 五篇；用户最终裁定；篇名。；来源 pf-al-table:29。仅作语境审校参考，不自动替换。
レーザー発振器官,震荡激光发射器官,AL 五篇；pf-al-r0-v11 confirmed；official exact Alternative pairs alternative:alternative16.rio:1143184112:38494:208 and alternative:alternative16.rio:1143184112:42095:238；来源 pf-al-table:28。仅作语境审校参考，不自动替换。
レーション,口粮,AL 五篇；pf-al-r0-v7 confirmed；official exact Muv-Luv pairs muvluv:muvluv16_chn.rio:1765816088:4774:38 (军用口粮); muvluv:muvluv16_chn.rio:1765816088:5327:46 (口粮); muvluv:muvluv16_chn.rio:1797857680:3280:25 (军用口粮)；来源 pf-al-table:14。仅作语境审校参考，不自动替换。
三浦,三浦,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；三浦园子的语境简称。；来源 pf-al-table:72。仅作语境审校参考，不自动替换。
下北オペレーター,下北作战管制官,仅限完整【说话人】字段；不得用作正文子串替换
中隊長,中队长,AL 五篇；pf-al-r0-v9 confirmed；official exact Alternative pairs alternative:alternative16.rio:1139340580:18344:81; alternative:alternative16.rio:1139340580:18563:82；来源 pf-al-table:19。仅作语境审校参考，不自动替换。
伊隅あきら,伊隅晶,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | AL 五篇；pf-al-r0-v21 confirmed；official exact Alternative pair alternative:alternative16.rio:1146975552:229966:572；来源 pf-al-table:66。仅作语境审校参考，不自动替换。
伊隅さん,伊隅,AL 五篇；pf-al-self-adjudication-v1 关系阶段裁决；同届关系不机械翻译さん。；来源 pf-al-table:83。仅作语境审校参考，不自动替换。
伊隅ヴァルキリーズ,伊隅女武神,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
佐久間,佐久间,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；按日文汉字透明简化。；来源 pf-al-table:79。仅作语境审校参考，不自动替换。
候補生,候补生,AL 五篇；pf-al-r0-v1 confirmed；official compound evidence plus unambiguous project register；来源 pf-al-table:70。仅作语境审校参考，不自动替换。
候補生一同,候补生众人,仅限完整【说话人】字段；不得用作正文子串替换
光風霽月,光风霁月,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:41。仅作语境审校参考，不自动替换。
免許皆伝,免许皆传,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:26。仅作语境审校参考，不自动替换。
全機兵器使用自由,全机兵器使用限制解除,AL 五篇；pf-al-r0-v10 confirmed；official exact Alternative pair alternative:alternative16.rio:1136301392:97552:180; corroborating 兵器使用自由 pairs in Alternative and Muv-Luv；来源 pf-al-table:23。仅作语境审校参考，不自动替换。
其の名はタケル,其名小武,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:67。仅作语境审校参考，不自动替换。
再突入殻,返回式舱,AL 五篇；pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v1/v11/v16；不保留第一遍“再入壳／光线级”。；来源 pf-al-table:92。仅作语境审校参考，不自动替换。
冥夜,冥夜,仅限完整【说话人】字段；不得用作正文子串替换
冥夜ちゃん,冥夜,EX 各篇；正式称谓证据；来源 pf-ex-table:48。仅作语境审校参考，不自动替换。
冥夜様,冥夜小姐,EX 各篇；正式称谓证据；来源 pf-ex-table:9。仅作语境审校参考，不自动替换。
凄乃皇・弐型,凄乃皇贰型,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
分隊,分队,AL 五篇；pf-al-r0-v1 confirmed；official mainline usage and stable military register；来源 pf-al-table:44。仅作语境审校参考，不自动替换。
分隊長,分队长,AL 五篇；pf-al-r0-v1 confirmed；many official exact JP/CN pairs including muvluv:muvluv16_chn.rio:595311928:38668:217 and official corpus line group at block 1835472344；来源 pf-al-table:74。仅作语境审校参考，不自动替换。
前線司令部,前线司令部,仅限完整【说话人】字段；不得用作正文子串替换
助手Ａ・Ｂ・Ｃ,助手A·B·C,仅限完整【说话人】字段；不得用作正文子串替换
千鶴,千鹤,仅限完整【说话人】字段；不得用作正文子串替换
千鶴ちゃん,千鹤（按句省略）,EX 各篇；正式称谓证据；按语境处理；来源 pf-ex-table:28。仅作语境审校参考，不自动替换。
千鶴・冥夜・壬姫・慧・美琴,千鹤、冥夜、壬姬、慧、美琴,仅限完整【说话人】字段；不得用作正文子串替换
千鶴・冥夜・壬姫・慧・美琴・武,千鹤、冥夜、壬姬、慧、美琴、武,仅限完整【说话人】字段；不得用作正文子串替换
千鶴・壬姫,千鹤·壬姬,仅限完整【说话人】字段；不得用作正文子串替换
千鶴・壬姫・尊人・柏木,千鹤·壬姬·尊人·柏木,仅限完整【说话人】字段；不得用作正文子串替换
千鶴・壬姫・慧・尊人,千鹤·壬姬·慧·尊人,仅限完整【说话人】字段；不得用作正文子串替换
千鶴・壬姫・慧・尊人・柏木,千鹤·壬姬·慧·尊人·柏木,仅限完整【说话人】字段；不得用作正文子串替换
千鶴・壬姫・慧・柏木・尊人,千鹤·壬姬·慧·柏木·尊人,仅限完整【说话人】字段；不得用作正文子串替换
千鶴・慧,千鹤·慧,仅限完整【说话人】字段；不得用作正文子串替换
反重力乃嵐,反重力之岚,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:49。仅作语境审校参考，不自动替换。
回収ポイント,回收点,AL 五篇；pf-al-r0-v4 confirmed；official exact Alternative pairs alternative:alternative16.rio:1132906480:1353:2; alternative:alternative16.rio:1132906480:4102:7; alternative:alternative16.rio:1432733660:8001:25；来源 pf-al-table:11。仅作语境审校参考，不自动替换。
国連軌道艦隊司令,联合国轨道舰队司令,仅限完整【说话人】字段；不得用作正文子串替换
園子,园子,AL 五篇；pf-al-r0-v1 contextual；target JP and close teammate relation；来源 pf-al-table:76。仅作语境审校参考，不自动替换。
地下茎構造,地下茎构造,AL 五篇；pf-al-r0-v13 confirmed；repeated official Alternative exact pairs including alternative:alternative16.rio:1143184112:16013:82 and alternative:alternative16.rio:1143670360:56392:255；来源 pf-al-table:34。仅作语境审校参考，不自动替换。
地獄坂,地狱坡,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:68。仅作语境审校参考，不自动替换。
壬姫,壬姬,仅限完整【说话人】字段；不得用作正文子串替换
壬姫ちゃん,壬姬,EX 各篇；正式称谓证据；来源 pf-ex-table:24。仅作语境审校参考，不自动替换。
夕呼,夕呼,仅限完整【说话人】字段；不得用作正文子串替换
夕呼先生,夕呼老师（按句省略）,EX 各篇；正式称谓证据；按语境处理；来源 pf-ex-table:12。仅作语境审校参考，不自动替换。
女の人,女人,仅限完整【说话人】字段；不得用作正文子串替换
姉さん,姐姐,AL 五篇；pf-al-r0-v21 confirmed；official exact Alternative pair alternative:alternative16.rio:1147527184:11992:43；来源 pf-al-table:64。仅作语境审校参考，不自动替换。
姉御,大姐,AL 五篇；pf-al-self-adjudication-v1 人物语气裁决；保留带江湖气的尊称，不直译为普通姐姐。；来源 pf-al-table:42。仅作语境审校参考，不自动替换。
宇宙乃雷,宇宙之雷,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:50。仅作语境审校参考，不自动替换。
宇宙書記長ゴルバン,宇宙书记长戈尔班,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:69。仅作语境审校参考，不自动替换。
宗像中尉,宗像中尉,仅限完整【说话人】字段；不得用作正文子串替换
家督,家主之位／继承权（按语境）,EX 各篇；第二遍全文审核；来源 pf-ex-table:42。仅作语境审校参考，不自动替换。
尊人,尊人,仅限完整【说话人】字段；不得用作正文子串替换
小型種,小型种,"AL 五篇；pf-al-r0-v17 confirmed；repeated official Alternative exact pairs, including alternative:alternative16.rio:1143184112:42508:242 and alternative:alternative16.rio:1150223368:6122:28；来源 pf-al-table:51。仅作语境审校参考，不自动替换。"
小隊全員,小队全员,仅限完整【说话人】字段；不得用作正文子串替换
小隊長,小队长,AL 五篇；pf-al-r0-v9 confirmed；official exact Alternative pairs including alternative:alternative16.rio:1133905442:15820:45 and repeated Alternative command scenes；来源 pf-al-table:20。仅作语境审校参考，不自动替换。
少女,少女,仅限完整【说话人】字段；不得用作正文子串替换
巴,巴,仅限完整【说话人】字段；不得用作正文子串替换
帝国軍衛士,帝国军卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
帝国軍衛士１,帝国军卫士1,仅限完整【说话人】字段；不得用作正文子串替换
帝国軍衛士２,帝国军卫士2,仅限完整【说话人】字段；不得用作正文子串替换
帝国軍衛士３,帝国军卫士3,仅限完整【说话人】字段；不得用作正文子串替换
帝国軍衛士４,帝国军卫士4,仅限完整【说话人】字段；不得用作正文子串替换
帝国軍衛士５,帝国军卫士5,仅限完整【说话人】字段；不得用作正文子串替换
帝国陸軍第１３３連隊,帝国陆军第133连队,AL 五篇；pf-al-r0-v22 confirmed；official exact Alternative pair alternative:alternative16.rio:1146975552:229966:572；来源 pf-al-table:67。仅作语境审校参考，不自动替换。
強化装備,强化装备,"AL 五篇；pf-al-r0-v14 confirmed；repeated official Alternative exact pairs across alternative16.rio, including alternative:alternative16.rio:1133092660:14296:28; alternative:alternative16.rio:1133593648:109126:337; alternative:alternative16.rio:1136301392:22462:27；来源 pf-al-table:36。仅作语境审校参考，不自动替换。"
彩峰さん,彩峰,EX 各篇；正式称谓证据；来源 pf-ex-table:18。仅作语境审校参考，不自动替换。
彩峰慧,彩峰慧,EX 各篇；主库术语表；来源 pf-ex-table:70。仅作语境审校参考，不自动替换。
御剣冥夜,御剑冥夜,EX 各篇；主库术语表；来源 pf-ex-table:37。仅作语境审校参考，不自动替换。
御剣財閥,御剑财阀,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:33。仅作语境审校参考，不自动替换。
御学友記念金貨,同窗纪念金币,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:71。仅作语境审校参考，不自动替换。
御師匠様,师父,EX 各篇；本篇人物关系与全文审核；来源 pf-ex-table:8。仅作语境审校参考，不自动替换。
御祖父様,祖父大人,EX 各篇；本篇人物关系与全文审核；来源 pf-ex-table:14。仅作语境审校参考，不自动替换。
御館様,老爷,EX 各篇；本篇人物关系与全文审核；来源 pf-ex-table:34。仅作语境审校参考，不自动替换。
慧,慧,仅限完整【说话人】字段；不得用作正文子串替换
慧ちゃん,慧（按句省略）,EX 各篇；正式称谓证据；按语境处理；来源 pf-ex-table:29。仅作语境审校参考，不自动替换。
慧・柏木,慧·柏木,仅限完整【说话人】字段；不得用作正文子串替换
戎,戎,仅限完整【说话人】字段；不得用作正文子串替换
我が名は冥夜,吾名冥夜,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:72。仅作语境审校参考，不自动替换。
戦術機母艦,战术机母舰,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
支店長,分行经理,仅限完整【说话人】字段；不得用作正文子串替换
教官殿,教官,AL 五篇；pf-al-self-adjudication-v1 关系阶段裁决；训练应答的敬意由军令句式表达，不机械补“殿／阁下”。；来源 pf-al-table:6。仅作语境审校参考，不自动替换。
教官１,教官1,仅限完整【说话人】字段；不得用作正文子串替换
教官２,教官2,仅限完整【说话人】字段；不得用作正文子串替换
教官３,教官3,仅限完整【说话人】字段；不得用作正文子串替换
教導隊,教导队,AL 五篇；pf-al-r0-v9 confirmed；official exact Alternative pairs alternative:alternative16.rio:1136615564:67589:139; alternative:alternative16.rio:1136874440:22124:44; alternative:alternative16.rio:1139340580:20070:89；来源 pf-al-table:21。仅作语境审校参考，不自动替换。
整備兵,整备兵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斯衛部隊指揮官,斯卫部队指挥官,仅限完整【说话人】字段；不得用作正文子串替换
新井,新井,仅限完整【说话人】字段；不得用作正文子串替换 | AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；字形在简繁中不变；读法未获官方证据，但不阻塞中文显示。；来源 pf-al-table:8。仅作语境审校参考，不自动替换。
晦,晦,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:73。仅作语境审校参考，不自动替换。
月の輪,月之轮,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:51。仅作语境审校参考，不自动替换。
月刊トリ,《月刊鸟类》,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:54。仅作语境审校参考，不自动替换。
月刊ヤキソバ,《月刊炒面》,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:43。仅作语境审校参考，不自动替换。
月子さん,月子,AL 五篇；pf-al-self-adjudication-v1 关系阶段裁决；同龄候补生间亲近称呼，以名字和语气承载礼貌。；来源 pf-al-table:81。仅作语境审校参考，不自动替换。
月詠,月咏,仅限完整【说话人】字段；不得用作正文子串替换
月詠さん,月咏,EX 各篇；正式称谓证据；来源 pf-ex-table:19。仅作语境审校参考，不自动替换。
朧月,胧月,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:74。仅作语境审校参考，不自动替换。
東ドイツ,东德,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
柏木,柏木,仅限完整【说话人】字段；不得用作正文子串替换
柏木さん,柏木,EX 各篇；正式称谓证据；来源 pf-ex-table:75。仅作语境审校参考，不自动替换。
柏木晴子,柏木晴子,EX 各篇；主库术语表；来源 pf-ex-table:76。仅作语境审校参考，不自动替换。
桜の花が咲くまえに,樱花盛开之前,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:77。仅作语境审校参考，不自动替换。
楔参型隊形,楔叁型阵型,AL 五篇；pf-al-r0-v10 confirmed；official exact Alternative pair alternative:alternative16.rio:1136301392:79095:157；来源 pf-al-table:24。仅作语境审校参考，不自动替换。
榊さん,榊,EX 各篇；正式称谓证据；来源 pf-ex-table:16。仅作语境审校参考，不自动替换。
榊千鶴,榊千鹤,EX 各篇；主库术语表；来源 pf-ex-table:78。仅作语境审校参考，不自动替换。
橘町,橘町,EX 各篇；本篇剧情与全文审核；来源 pf-ex-table:79。仅作语境审校参考，不自动替换。
正樹,正树,AL 五篇；pf-al-self-adjudication-v1 项目编辑定名；按日文汉字透明简化。；来源 pf-al-table:65。仅作语境审校参考，不自动替换。
武,武,仅限完整【说话人】字段；不得用作正文子串替换
武・千鶴,武·千鹤,仅限完整【说话人】字段；不得用作正文子串替换
武・純夏,武·纯夏,仅限完整【说话人】字段；不得用作正文子串替换
武様,武先生,EX 各篇；正式称谓证据；来源 pf-ex-table:52。仅作语境审校参考，不自动替换。
死の８分,8分钟的死亡线,AL 五篇；pf-al-r0-v9 confirmed；official exact Alternative pairs alternative:alternative16.rio:1139340580:14925:66; alternative:alternative16.rio:1139340580:46988:218；来源 pf-al-table:5。仅作语境审校参考，不自动替换。
死合い,死斗,EX 各篇；第二遍全文审核；来源 pf-ex-table:44。仅作语境审校参考，不自动替换。
涼宮中尉,凉宫中尉,仅限完整【说话人】字段；不得用作正文子串替换
涼宮少尉,凉宫少尉,仅限完整【说话人】字段；不得用作正文子串替换
