"jp","cn","occurrences","basis"
"着剣","拔剑","1","pf-al-r0-v17 confirmed；official exact Alternative pair alternative:alternative16.rio:1150746756:18141:15"
"チェックシックス","注意6点方向","1","pf-al-r0-v17 confirmed；official exact Alternative pair alternative:alternative16.rio:1152994734:64817:158"
"小型種","小型种","1","pf-al-r0-v17 confirmed；repeated official Alternative exact pairs, including alternative:alternative16.rio:1143184112:42508:242 and alternative:alternative16.rio:1150223368:6122:28"
"ＨＱ","ＨＱ","14","pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。"
"音紋","声纹","1","pf-al-r0-v17 confirmed；repeated official Alternative exact pairs alternative:alternative16.rio:1146152950:40819:39; alternative:alternative16.rio:1146152950:59000:73"
"レインダンス０１","雨舞01","1","用户最终裁定；数字呼号。"
"ベニーニ","贝尼尼","13","pf-al-self-adjudication-v1 项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。"
"みちる","美知留","1033","正式 Alternative 中文姓名。"
"ラザフォード場","卢瑟福力场","2","pf-al-r0-v19 confirmed；repeated official Alternative exact pairs, including alternative:alternative16.rio:1144892310:54643:194 and alternative:alternative16.rio:1146729186:58653:79"
"オペレーター","作战管制官","6","pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。"
"データリンク","数据链","10","pf-al-r0-v19 confirmed；repeated official Alternative exact pairs, including alternative:alternative16.rio:1133593648:109406:339 and alternative:alternative16.rio:1146152950:60552:82"
"重力偏差","重力偏差","1","pf-al-r0-v19 confirmed；official exact Alternative pairs, including alternative:alternative16.rio:1144892310:124214:514 and alternative:alternative16.rio:1144892310:57160:214"
"神宮司まりも","神宫司麻理茉","4","pf-al-r0-v1 confirmed；pf-al-terms-v1; official Alternative exact speaker alias 915 instances"
"あきら","晶","173","正式 Alternative 精确日中对；覆盖旧 glossary 的“明”。"
"まりか","麻里香","146","伊隅家人物简称统一。"
"姉さん","姐姐","37","pf-al-r0-v21 confirmed；official exact Alternative pair alternative:alternative16.rio:1147527184:11992:43"
"正樹","正树","17","pf-al-self-adjudication-v1 项目编辑定名；按日文汉字透明简化。"
"伊隅あきら","伊隅晶","1","pf-al-r0-v21 confirmed；official exact Alternative pair alternative:alternative16.rio:1146975552:229966:572"
"帝国陸軍第１３３連隊","帝国陆军第133连队","1","pf-al-r0-v22 confirmed；official exact Alternative pair alternative:alternative16.rio:1146975552:229966:572"
"神宮司教官","神宫司教官","411","pf-al-self-adjudication-v1 关系阶段裁决；岗位加姓氏，符合训练校称谓。"
"軍曹","中士","7","pf-al-r0-v1 confirmed；official exact JP/CN pairs including muvluv:muvluv16_chn.rio:537991298:46303:415"
"候補生","候补生","77","pf-al-r0-v1 confirmed；official compound evidence plus unambiguous project register"
"やよい","弥生","67","伊隅家人物简称统一。"
"三浦","三浦","561","三浦园子的语境简称。"
"韮沢","韭泽","94","pf-al-self-adjudication-v1 项目编辑定名；按日文汉字透明简化；不伪称正式中文实例。"
"分隊長","分队长","54","pf-al-r0-v1 confirmed；many official exact JP/CN pairs including muvluv:muvluv16_chn.rio:595311928:38668:217 and official corpus line group at block 1835472344"
"藤澤","藤泽","633","项目姓名定名；MAGES 官方日文角色名，中文透明简化。"
"園子","园子","43","pf-al-r0-v1 contextual；target JP and close teammate relation"
"訓練小隊","训练小队","15","pf-al-r0-v1 confirmed；transparent structured term consistent with 第207卫士训练小队"
"竹宮","竹宫","825","pf-al-self-adjudication-v1 项目编辑定名；MAGES 官方页确认角色日文全名竹宮千夏；中文采用透明简体字。"
"佐久間","佐久间","67","pf-al-self-adjudication-v1 项目编辑定名；按日文汉字透明简化。"
"狩野","狩野","83","pf-al-self-adjudication-v1 项目编辑定名；字形在简繁中不变。"
"月子さん","月子","45","pf-al-self-adjudication-v1 关系阶段裁决；同龄候补生间亲近称呼，以名字和语气承载礼貌。"
"竹宮さん","竹宫","18","pf-al-self-adjudication-v1 关系阶段裁决；同届关系不机械翻译さん。"
"伊隅さん","伊隅","18","pf-al-self-adjudication-v1 关系阶段裁决；同届关系不机械翻译さん。"
"ダイバー","降下兵","14","用户最终裁定；正文口语兵种称呼。"
"衛士候補生","卫士候补生","1","pf-al-r0-v1 confirmed；official exact JP/CN pair: muvluv:muvluv16_chn.rio:1435824342:49035:326"
"鬼灯","那些畜生","4","用户接受的语境性裁决；泛指 BETA 的辱称，不是物种名。"
"鬼灯野郎","那些畜生","3","用户接受的语境性裁决；泛指 BETA 的辱称，不是物种名。"
"やよい姉ちゃん","弥生姐","8","pf-al-self-adjudication-v1 家庭关系裁决；保留妹妹对姐姐的亲近关系。"
"みちる姉ちゃん","美知留姐","7","pf-al-self-adjudication-v1 家庭关系裁决；保留妹妹对姐姐的亲近关系。"
"みちるちゃん","美知留","15","pf-al-self-adjudication-v1 家庭关系裁决；亲昵由语气承载，避免机械“美知留酱”。"
"チキン・ダイバーズ","Chicken Divers","1","用户最终裁定；保留篇名双关。"
"再突入殻","返回式舱","9","pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v1/v11/v16；不保留第一遍“再入壳／光线级”。"
"軌道降下兵","轨道降下兵","10","用户最终裁定；正式兵种。"
"マザーグース","鹅妈妈","20","Chicken Divers 舰艇呼号词干。"
"マザーグース１","鹅妈妈1","15","Chicken Divers 带编号舰艇呼号。"
"軌道降下兵団","轨道降下兵团","3","用户最终裁定；正式编制。"
"重光線級","重激光级","1","pf-al-self-adjudication-v1 正式 Alternative 日中语料 confirmed；服从 R0 v1/v11/v16；不保留第一遍“再入壳／光线级”。"
"ザウバー","Sauber","3","pf-al-r0-v1 confirmed；official Alternative speaker alias exact instance"
"ゴースト","Ghost","1","pf-al-r0-v1 confirmed；official Alternative speaker alias exact instance"
