"version","category","jp","cn","status","scope","basis","handling"
"pf-al-r0-v11","beta_class","重レーザー級","重激光级","confirmed","all AL","official Alternative class mapping 重光線級→重激光级, including alternative:alternative16.rio:1143184112:38380:207; local 重レーザー級 is the same large laser-class BETA","retain 重 prefix"
"pf-al-r0-v11","beta_organ","レーザー発振器官","震荡激光发射器官","confirmed","all AL","official exact Alternative pairs alternative:alternative16.rio:1143184112:38494:208 and alternative:alternative16.rio:1143184112:42095:238","use full organ name in descriptive narration"
"pf-al-r0-v12","tsf_component","管制ユニット","管制组件","confirmed","all AL","repeated official Alternative exact pairs alternative:alternative16.rio:1144112372:7703:15; alternative:alternative16.rio:1144112372:10320:24; alternative:alternative16.rio:1144112372:11689:29; later Alternative pairs corroborate","Alternative canonical takes precedence over older Muv-Luv 管制单元; preserve model/prefix from JP"
"pf-al-r0-v13","beta_vehicle","着陸ユニット","登陆舱","confirmed","all AL","repeated official Alternative exact pairs alternative:alternative16.rio:1143184112:9389:36; alternative:alternative16.rio:1143184112:9768:37; alternative:alternative16.rio:1143184112:11082:50","do not use 着陆单元"
"pf-al-r0-v13","hive","オリジナルハイヴ","母巢","confirmed","all AL","repeated official Alternative exact pairs beginning alternative:alternative16.rio:1133593648:22364:60 and throughout Alternative final operations","international-name quotation may preserve Ｏｒｉｇｉｎａｌ ＨＩＶＥ when JP explicitly explains that label; ordinary reference uses 母巢"
"pf-al-r0-v13","hive_structure","地下茎構造","地下茎构造","confirmed","all AL","repeated official Alternative exact pairs including alternative:alternative16.rio:1143184112:16013:82 and alternative:alternative16.rio:1143670360:56392:255","when compounded with ハイヴ, use 巢穴地下茎构造"
"pf-al-r0-v13","operation","パレオロゴス作戦","巴列奥略作战","confirmed","all AL","official exact Alternative pair alternative:alternative16.rio:1143670360:55760:250","use exact established transliteration"
"pf-al-r0-v14","equipment","強化装備","强化装备","confirmed","all AL","repeated official Alternative exact pairs across alternative16.rio, including alternative:alternative16.rio:1133092660:14296:28; alternative:alternative16.rio:1133593648:109126:337; alternative:alternative16.rio:1136301392:22462:27","preserve explicit model and 衛士 prefixes from JP"
"pf-al-r0-v15","hive","ハイヴ","巢穴","confirmed","all AL","repeated official Alternative exact pairs throughout alternative16.rio, including alternative:alternative16.rio:1143184112:15951:81 and alternative:alternative16.rio:1143184112:16528:84","more-specific オリジナルハイヴ→母巢 from pf-al-r0-v13 takes precedence"
"pf-al-r0-v15","tsf_model","ＥＦ－２０００","ＥＦ－2000","confirmed","all AL","official exact Alternative pair alternative:alternative16.rio:1143670360:9792:34","preserve fullwidth Latin letters and dash with halfwidth digits as official Chinese"
"pf-al-r0-v15","tactical_role","突撃前衛","突击前卫","confirmed","all AL","repeated official Alternative exact pairs, including alternative:alternative16.rio:1143184112:37273:202 and alternative:alternative16.rio:1143670360:71871:291","compound 突撃前衛長→突击前卫长"
"pf-al-r0-v16","beta_class","光線級","激光级","confirmed","all AL","repeated official Alternative exact pairs, including alternative:alternative16.rio:1138971900:14450:59 and alternative:alternative16.rio:1143184112:34286:174","same Chinese class name as colloquial レーザー級 from pf-al-r0-v11"
"pf-al-r0-v16","beta_class","重光線級","重激光级","confirmed","all AL","repeated official Alternative exact pairs, including alternative:alternative16.rio:1143184112:38380:207 and alternative:alternative16.rio:1146069082:15575:28","same Chinese class name as colloquial 重レーザー級 from pf-al-r0-v11"
"pf-al-r0-v17","melee_command","着剣","拔剑","confirmed","all AL","official exact Alternative pair alternative:alternative16.rio:1150746756:18141:15","use as immediate close-combat preparation command"
"pf-al-r0-v17","tactical_call","チェックシックス","注意6点方向","confirmed","all AL","official exact Alternative pair alternative:alternative16.rio:1152994734:64817:158","use halfwidth Arabic 6 in Chinese"
"pf-al-r0-v17","beta_group","小型種","小型种","confirmed","all AL","repeated official Alternative exact pairs, including alternative:alternative16.rio:1143184112:42508:242 and alternative:alternative16.rio:1150223368:6122:28","generic BETA size group, not a single species"
"pf-al-r0-v17","sensor","音紋","声纹","confirmed","all AL","repeated official Alternative exact pairs alternative:alternative16.rio:1146152950:40819:39; alternative:alternative16.rio:1146152950:59000:73","pair with 振動→振动 when both occur"
"pf-al-r0-v18","radio_abbreviation","ＨＱ","ＨＱ","confirmed","all AL","repeated official Alternative exact pairs, including alternative:alternative16.rio:1146069082:13502:23 and alternative:alternative16.rio.002:313761270:20677:12","preserve fullwidth Latin letters in speaker labels and radio dialogue"
"pf-al-r0-v19","gravity_field","ラザフォード場","卢瑟福力场","confirmed","all AL","repeated official Alternative exact pairs, including alternative:alternative16.rio:1144892310:54643:194 and alternative:alternative16.rio:1146729186:58653:79","use full term 力场, not 拉瑟福场"
"pf-al-r0-v19","communications","データリンク","数据链","confirmed","all AL","repeated official Alternative exact pairs, including alternative:alternative16.rio:1133593648:109406:339 and alternative:alternative16.rio:1146152950:60552:82","compound forms follow context, e.g. 有线数据链"
"pf-al-r0-v19","machine_name","凄乃皇弐型","凄乃皇贰型","confirmed","all AL","official exact Alternative pair alternative:alternative16.rio:1144892310:54643:194","apply also to source orthographic variant 凄乃皇・弐型; omit middle dot in Chinese"
"pf-al-r0-v19","gravity_technical","重力偏差","重力偏差","confirmed","all AL","official exact Alternative pairs, including alternative:alternative16.rio:1144892310:124214:514 and alternative:alternative16.rio:1144892310:57160:214","do not infer translation of distinct 空間の縮退"
"pf-al-r0-v20","military_role","オペレーター","作战管制官","confirmed","all AL","repeated official Alternative exact speaker pairs, including alternative:alternative16.rio:1146069082:14911:27 and alternative:alternative16.rio.002:313761270:37052:29","use for military command/control operators; do not generalize to unrelated civilian equipment operators"
"pf-al-r0-v21","addressing","姉さん","姐姐","confirmed","isumi_michiru referring to/addressing elder sister Isumi Yayoi","official exact Alternative pair alternative:alternative16.rio:1147527184:11992:43","contextual relation freeze only; do not generalize across speakers or unrelated elder sisters"
"pf-al-r0-v21","person_name","伊隅あきら","伊隅晶","confirmed","all AL","official exact Alternative pair alternative:alternative16.rio:1146975552:229966:572","short-form あきら in Isumi-family context maps to 晶"
"pf-al-r0-v22","unit_name","帝国陸軍第１３３連隊","帝国陆军第133连队","confirmed","all AL","official exact Alternative pair alternative:alternative16.rio:1146975552:229966:572","use 连队 and halfwidth Arabic 133; keep full hierarchical name"
"pf-al-self-adjudication-v1","姓名","新井","新井","project_decision","photonflowers AL 五篇","项目编辑定名；字形在简繁中不变；读法未获官方证据，但不阻塞中文显示。","影响 300 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","姓名","竹宮","竹宫","project_decision","photonflowers AL 五篇","项目编辑定名；MAGES 官方页确认角色日文全名竹宮千夏；中文采用透明简体字。","影响 822 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","姓名","藤澤／藤沢","藤泽（全名藤泽月子）","project_decision","photonflowers AL 五篇","项目编辑定名；MAGES 官方页确认藤澤月子；异体写法统一按透明简化处理。","影响 632 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","姓名","三浦園子／三浦／園子","三浦园子；语境简称三浦／园子","project_decision","photonflowers AL 五篇","项目编辑定名；MAGES 官方页确认三浦園子；中文采用透明简体字。","影响 598 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","姓名","韮沢","韭泽","project_decision","photonflowers AL 五篇","项目编辑定名；按日文汉字透明简化；不伪称正式中文实例。","影响 94 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","姓名","佐久間","佐久间","project_decision","photonflowers AL 五篇","项目编辑定名；按日文汉字透明简化。","影响 66 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","姓名","狩野","狩野","project_decision","photonflowers AL 五篇","项目编辑定名；字形在简繁中不变。","影响 83 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","姓名","正樹","正树","project_decision","photonflowers AL 五篇","项目编辑定名；按日文汉字透明简化。","影响 16 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","姓名","ナディア／パブロ／ベニーニ／グレアム／レイチェル／フランコ","娜迪亚／巴勃罗／贝尼尼／格雷厄姆／蕾切尔／弗兰科","project_decision","photonflowers AL 五篇","项目编辑定名；采用稳定通行音译；贝尼尼有项目 glossary 全名佐证。","影响 61 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","称谓","教官殿","教官","project_decision","photonflowers AL 五篇","关系阶段裁决；训练应答的敬意由军令句式表达，不机械补“殿／阁下”。","影响 60 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","称谓","神宮司教官","神宫司教官","project_decision","photonflowers AL 五篇","关系阶段裁决；岗位加姓氏，符合训练校称谓。","影响 410 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","称谓","月子さん","月子","project_decision","photonflowers AL 五篇","关系阶段裁决；同龄候补生间亲近称呼，以名字和语气承载礼貌。","影响 42 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","称谓","伊隅さん","伊隅","project_decision","photonflowers AL 五篇","关系阶段裁决；同届关系不机械翻译さん。","影响 18 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","称谓","竹宮さん","竹宫","project_decision","photonflowers AL 五篇","关系阶段裁决；同届关系不机械翻译さん。","影响 17 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","称谓","みちるちゃん","美知留","project_decision","photonflowers AL 五篇","家庭关系裁决；亲昵由语气承载，避免机械“美知留酱”。","影响 14 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","称谓","みちる姉ちゃん","美知留姐","project_decision","photonflowers AL 五篇","家庭关系裁决；保留妹妹对姐姐的亲近关系。","影响 7 行；target_order 5557、5559、5630、5638、5654、5695、5697"
"pf-al-self-adjudication-v1","称谓","やよい姉ちゃん","弥生姐","project_decision","photonflowers AL 五篇","家庭关系裁决；保留妹妹对姐姐的亲近关系。","影响 8 行；target_order 5554、5556、5559、5600、5606、5638、5693、5703"
"pf-al-self-adjudication-v1","称谓","姉御","大姐","project_decision","photonflowers AL 五篇","人物语气裁决；保留带江湖气的尊称，不直译为普通姐姐。","影响 2 行；target_order 1147、1155"
"pf-al-self-adjudication-v1","称谓","美知留称弥生「姉さん」","姐姐","project_decision","photonflowers AL 五篇","正式语料 confirmed/contextual；R0 v21 已由 Alternative 精确日中对确认，仅限该姐妹关系。","影响 34 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","呼号","Aquila／Lightning／Blade／Cracker／Sierra Delta","保留 Latin；编号前空一格","project_decision","photonflowers AL 五篇","项目编辑定名；无线电识别优先；统一半角数字和一个普通空格。","影响 98 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","呼号","Aquilas／ライトニングス","Aquila全队／Lightning全队（按句法）","project_decision","photonflowers AL 五篇","语境裁决；复数或集体呼叫按当句功能处理，不机械添加同一后缀。","影响 7 行；target_order 5755、5771、5772、5857、5900、6007、6022"
"pf-al-self-adjudication-v1","正式术语","間接思考制御／ＰＸ／管制ユニット／オペレーター／ＣＰ／ＨＱ","间接思考控制／ＰＸ／管制组件／作战管制官／ＣＰ／ＨＱ","project_decision","photonflowers AL 五篇","正式 Alternative 日中语料 confirmed；服从 R0 v3/v8/v10/v12/v18/v20，并追溯应用到本轮派生候选。","影响 30 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","正式术语","再突入殻／光線級／重光線級","返回式舱／激光级／重激光级","project_decision","photonflowers AL 五篇","正式 Alternative 日中语料 confirmed；服从 R0 v1/v11/v16；不保留第一遍“再入壳／光线级”。","影响 13 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","军事/技术","透明军语、装备、设施、作战与地名","采用逐行候选中的透明项目译法","project_decision","photonflowers AL 五篇","项目编辑定名；JP语义和部件层级已逐行复核；缺正式实例本身不再构成阻塞，但不标为 official confirmed。","影响 746 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","技术控制符","21 个新增 U+0001 及其他功能性控制符","沿用第二遍功能审计结果","project_decision","photonflowers AL 五篇","RIO 功能审计 confirmed；21处终止符、分页与换行按已验证功能规则核验，不要求逐字符机械相等。","影响 6023 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","语义边界","动作、画面、文化指涉或歌曲身份未明，但候选保持中性","保留不扩写的逐行候选","project_decision","photonflowers AL 五篇","JP＋上下文 contextual；不知道具体动作／出处不等于译文错误；只要中文不虚构事实，即可结案。","影响 172 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","逐行语义","其余已完成逐行复核的 question","按当前候选 keep 或按差异 revise","project_decision","photonflowers AL 五篇","JP＋scene＋剧情/人物卡 contextual；重新核对主宾、否定、因果、指代、情绪与信息范围后，无剩余真实歧义。","影响 3251 行；详见全文表稳定定位"
"pf-al-self-adjudication-v1","明确修订","第二遍后追加的 10 处逐行措辞修订","见修订明细","project_decision","photonflowers AL 五篇","JP＋上下文编辑裁决；修正侧别句法、对抗称谓、无来源发声、指代、自然度和佐渡岛作战名。","影响 10 行；target_order 3142、3593、4041、4053、4277、4297、4444、4548、4668、5852"
"pf-al-user-final-v1","系列标题","クロニクルズ","编年史","user_confirmed","贖罪／告白／継承","用户最终裁定；统一三个 Chronicles 篇名。","target_order 1、1463、5257"
"pf-al-user-final-v1","篇名／部队名／呼号","レイン・ダンサーズ／レインダンス中隊／レインダンス０１／雨乞い中隊","雨舞者／雨舞中队／雨舞01／乞雨中队","user_confirmed","Rain Dancers","用户最终裁定；篇名、部队名、数字呼号分层统一。","雨舞A 同一呼号规则；target_order 1016、1033、1114、1128、1130、1161、1163、1270、1283"
"pf-al-user-final-v1","篇名／兵种","チキン・ダイバーズ／ダイバー／軌道降下兵／軌道降下兵団","Chicken Divers／降下兵／轨道降下兵／轨道降下兵团","user_confirmed","Chicken Divers","用户最终裁定；英文篇名保留双关，正文使用准确军种称谓。","篇名 target_order 5773；正文依正式称谓与口语层级处理"
"pf-al-user-final-v1","含混语音","三浦口含食物的两句变音台词","再怎么也不行了吧／今天就别再继续了嘛","user_accepted_editorial","告白","用户接受第二遍编辑裁决；依据 JP 音值、动作和相邻对话恢复。","target_order 2937、2940；保留断续语气，不把变音逐字机械转写"
"pf-al-user-final-v1","语境性辱称","鬼灯／鬼灯野郎","那些畜生","user_accepted_contextual","告白","四处战场训话均泛指围食卫士的 BETA；无证据支持具体物种名，用户接受该裁决。","target_order 3110、3659、3693、3696；不得登记为 BETA 种名"
"pf-al-user-final-v1","源文疑点","課程（target_order 4513）","过程","user_confirmed_contextual","告白","用户最终裁定；结果／过程对举明确。JP 保护字段仍保留原写法“課程”。","仅 target_order 4513 按上下文译为“过程”"
"pf-al-user-final-v1","正式姓名覆盖","あきら／伊隅あきら","晶／伊隅晶","confirmed","告白／継承","正式 Alternative 精确日中对 alternative:alternative16.rio:1146975552:229966:572；覆盖旧 glossary 的“伊隅明”。","人物简称、说话人标签与他人直呼统一用“晶”；“明白／明明”等普通词不受影响"
"pf-al-user-final-v1","呼号","マザーグース／マザーグース１","鹅妈妈／鹅妈妈1","project_contextual","Chicken Divers","篇内作为带编号的舰艇无线电呼号；编号前不插入“号”。","マザーグース１固定为“鹅妈妈1”；通称词干为“鹅妈妈”"
