baseline_version,jp_term,cn_term,category,count,classification,applicability,source_authority,source_hash,reason,examples,origin
photonflowers-ex-terms-v1.0,球技大会,球类大赛,event,5,candidate,school event,JP plot context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,repeated event name,,full_read_manual_addition
photonflowers-ex-terms-v1.0,サンタうさぎ,圣诞兔,character_goods,4,candidate,桜の花が咲くまえに,JP scene context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,recurring key-chain character,,full_read_manual_addition
photonflowers-ex-terms-v1.0,光風霽月,光风霁月,named_move/concept,4,candidate,月の輪 naming context,JP explicit phrase,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,preserve four-character name,,full_read_manual_addition
photonflowers-ex-terms-v1.0,御館様,老爷,household_title,4,candidate,月咏/侍从→御剑雷电,JP relationship context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,household-lord title; no formal CN snapshot,pf:static:photonflowers11.rio:488133660:00057477 | 月詠 | 【月詠】「申し訳ございません。その……御館様身辺の大事ともなれば、機密中の機密……私などでは到底確証を得る事などかないません」<01> || pf:static:photonflowers11.rio.002:186673440:00134257 | 月詠 | 【月詠】「……御館様が、危篤状態で、一刻を争うとのことです！」<01> || pf:static:photonflowers11.rio.002:186673440:00142535 | 月詠 | 【月詠】「御館様が痙攣をっ！」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,月刊ヤキソバ,《月刊炒面》,fictional_magazine,4,candidate,彩峰慧 episode,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,fictional magazine title,pf:static:photonflowers11.rio:487716956:00101271 |  | 『月刊ヤキソバ』にも載ってない至高の穴場スポット。<01> || pf:static:photonflowers11.rio:487716956:00114369 | 慧 | 【慧】「『月刊ヤキソバ』にも載ってない穴場だって」<01> || pf:static:photonflowers11.rio:487716956:00114581 | 武 | 【武】「言ってねぇよ。<0A>だいたい、<03>なんだ？　その『月刊ヤキソバ』ってのは？　雑誌か？」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ナノストップ,Nano Stop,brand,3,candidate,convenience store,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,fictional convenience-store name,pf:static:photonflowers11.rio:487417908:00130001 | 壬姫 | 【壬姫】「ナノストップの中華まんが食べたいねぇ」<01> || pf:static:photonflowers11.rio:487417908:00145827 | 壬姫 | 【壬姫】「それなら、<03>ナノストップの中華まんがいいです！」<01> || pf:static:photonflowers11.rio:487417908:00152691 | 壬姫 | 【壬姫】「ナノストップでね！　『おでんまん』が出たんだよ！」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ラクロス,长曲棍球,sport,3,candidate,school club/sports event,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,established sport name,pf:static:photonflowers11.rio.002:1602830768:00111425 |  | <05>球技大会のラクロス…<03>…<03> || pf:static:photonflowers11.rio:487417908:00127545 |  | 部長は２年生に譲っちゃったけど、<03>まだまだラクロスがんばってるの知ってる。<01> || pf:static:photonflowers11.rio:487590408:00087655 |  | 私たち３年が引退すれば、<03>ラクロスやるのに、<03>メンバーが足りなくなる。<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,反重力乃嵐,反重力之岚,comic_move,3,candidate,醍三郎,JP explicit move name,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,comic named move,,full_read_manual_addition
photonflowers-ex-terms-v1.0,宇宙乃雷,宇宙之雷,comic_move,3,candidate,醍三郎,JP explicit move name,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,comic named move,,full_read_manual_addition
photonflowers-ex-terms-v1.0,月の輪,月之轮,named_move,3,candidate,冥夜自创,JP explicit naming scene,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,named move,pf:static:photonflowers11.rio.002:186673440:00111975 | 冥夜 | 【冥夜】「……そうだな……『月の輪』だ」<01> || pf:static:photonflowers11.rio.002:186673440:00112137 | 月詠 | 【月詠】「『月の輪』？」<01> || pf:static:photonflowers11.rio.002:186673440:00112813 | 月詠 | 【月詠】「まあ……ということは『月の輪』は、冥夜様が編み出された技ですのね？」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,皆琉神威,皆琉神威,weapon,3,candidate,御剑家宝刀,JP explicit name,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,named sword,pf:static:photonflowers11.rio:488133660:00095795 | 醍三郎 | 【醍三郎】「そして、その試練を見事乗り越えられたなら、奥に奉られておる御剣家の宝刀『皆琉神威』を持って行くがよい」<01> || pf:static:photonflowers11.rio.002:186673440:00114565 |  | ――そして、その試練を見事乗り越えられたなら、奥に奉られておる御剣家の宝刀『皆琉神威』を持って行くがよい<01> || pf:static:photonflowers11.rio.002:186673440:00118939 | 冥夜 | 【冥夜】「今日こそは宝刀『皆琉神威』……いただいて行きます」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,月刊トリ,《月刊鸟类》,fictional_magazine,2,candidate,彩峰慧 episode,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,fictional magazine title,pf:static:photonflowers11.rio:487716956:00130755 |  | まずは買ってきた『月刊トリ』で情報収集しないとね。<01> || pf:static:photonflowers11.rio:487716956:00148547 | 慧 | 【慧】「『月刊トリ』によれば、<03>もうすぐ巣立ち」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,白陵大学付属柊学園,白陵大学附属柊学园,institution,2,candidate,formal school name in this episode,JP + confirmed short-form pattern,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,expanded form absent from public glossary,,full_read_manual_addition
photonflowers-ex-terms-v1.0,醍三郎殿,醍三郎大人,address_form,2,candidate,冥夜→醍三郎 before formal discipleship,JP relationship context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,respectful address; no formal CN snapshot,pf:static:photonflowers11.rio.002:186673440:00148159 | 雷電 | 【雷電】「ゆめゆめ、醍三郎殿を責めるな。すべてそなたのため、御剣のためにと打った芝居故な」<01> || pf:static:photonflowers11.rio.002:186673440:00150797 | 雷電 | 【雷電】「…………して？　醍三郎殿は何と？」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,ＴＱアームズ,TQ Arms,facility,2,candidate,桜の花が咲くまえに,JP scene context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,shop name; preserve Latin brand form,,full_read_manual_addition
photonflowers-ex-terms-v1.0,YOKOHAMAスカイウォーカー,YOKOHAMA Sky Walker,magazine,1,candidate,movie-information magazine,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,mixed-script publication title,,full_read_manual_addition
photonflowers-ex-terms-v1.0,おでんまん,关东煮包,food_gag,1,candidate,Nano Stop product,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,named novelty food,pf:static:photonflowers11.rio:487417908:00152691 | 壬姫 | 【壬姫】「ナノストップでね！　『おでんまん』が出たんだよ！」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,たけるさんのしっぽ,小武哥的尾巴,episode_title,1,candidate,episode title,JP title + confirmed address form,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,title uses Miki's confirmed form,,full_read_manual_addition
photonflowers-ex-terms-v1.0,タケルちゃんといっしょ！,和小武在一起！,episode_title,1,candidate,episode title,JP title + confirmed address form,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,title uses Sumika's confirmed form,,full_read_manual_addition
photonflowers-ex-terms-v1.0,ドリルミルキィパンチ,钻头牛奶拳,fictional_move,1,candidate,儿童节目梗,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,comic move name,pf:static:photonflowers11.rio:487283344:00076000 | 武 | 【武】「────こうして、<03>純夏の必殺ブロー『ドリルミルキィパンチ』は完成したんだ。<0A>ガキの頃からひどい目にあわされて来たんだよオレは。<0A>わかるか…<03>…<03>尊人？」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,バルゴ,巴尔戈,brand/item,1,candidate,swimsuit/shopping context,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,katakana proper name,pf:static:photonflowers11.rio:487283344:00075526 |  | わざわざ橘町のバルゴまで出てきた甲斐があったよ～！<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,其の名はタケル,其名小武,episode_title,1,candidate,episode title,JP title + paired structure,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,paired naming title; address-style name form remains candidate,,full_read_manual_addition
photonflowers-ex-terms-v1.0,地獄坂,地狱坡,place_nickname,1,candidate,白陵通学路,JP scene definition,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,students' nickname,,full_read_manual_addition
photonflowers-ex-terms-v1.0,宇宙書記長ゴルバン,宇宙书记长戈尔班,fictional_show,1,candidate,武的儿童节目回忆,JP explicit title,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,transparent title + name transliteration,pf:static:photonflowers11.rio.002:1366349532:00049390 | 武 | 【武】「昔さ、<03>ＴＶで『宇宙書記長ゴルバン』っていう番組があったんだけど…<03>…<03>それに出てくる宇宙テロリスト」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,御学友記念金貨,同窗纪念金币,commemorative_item,1,candidate,卒業式,JP inscription/context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,named commemorative object,,full_read_manual_addition
photonflowers-ex-terms-v1.0,我が名は冥夜,吾名冥夜,episode_title,1,candidate,episode title,JP title + plot closure,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,paired naming title,,full_read_manual_addition
photonflowers-ex-terms-v1.0,晦,晦,named_move,1,candidate,无现鬼道流,JP explicit move name,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,single-character move name,,full_read_manual_addition
photonflowers-ex-terms-v1.0,朧月,胧月,named_move,1,candidate,无现鬼道流,JP explicit move name,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,named move,pf:static:photonflowers11.rio.002:186673440:00098989 | 月詠 | 【月詠】「無現鬼道流剣術が一『朧月』……お見事です、冥夜様」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,桜の花が咲くまえに,樱花盛开之前,episode_title,1,candidate,episode title,JP title + full plot context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,title image is explicit in graduation scene,,full_read_manual_addition
photonflowers-ex-terms-v1.0,橘町,橘町,place,1,candidate,shopping district,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,place name,,full_read_manual_addition
photonflowers-ex-terms-v1.0,珠瀬様,珠濑小姐,address_form,1,candidate,月咏→珠濑壬姬,JP relationship context + formal address pattern,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,polite social address; no exact formal snapshot,pf:static:photonflowers11.rio.002:1602830768:00130379 | 月詠 | 【月詠】「…<03>…<03>珠瀬様」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,白秋祭,白秋祭,event,1,candidate,school cultural festival,JP plot context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,named school event,,full_read_manual_addition
photonflowers-ex-terms-v1.0,白銀君ちょっとッ！！,白银同学，等一下！！,episode_title,1,candidate,episode title,JP title + confirmed address form,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,Chizuru's shouted address,,full_read_manual_addition
photonflowers-ex-terms-v1.0,真那様,真那大人,address_form,1,candidate,神代/巴/戎→月咏真那,JP relationship context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,retainer hierarchy,pf:static:photonflowers11.rio.002:1391025672:00123361 | 助手Ａ・Ｂ・Ｃ | 【助手Ａ・Ｂ・Ｃ】「真那様痛いーー」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,移し身の術法,移身之术,martial_technique,1,candidate,无现鬼道流,JP combat context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,chapter-local technique,,full_read_manual_addition
photonflowers-ex-terms-v1.0,鏡花水月,镜花水月,named_move/concept,1,candidate,无现鬼道流,JP explicit phrase,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,preserve four-character name,,full_read_manual_addition
photonflowers-ex-terms-v1.0,ゲドラー軍団,盖德拉军团,fictional_group,0,candidate,儿童节目梗,JP context,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,name transliteration remains chapter candidate,,full_read_manual_addition
photonflowers-ex-terms-v1.0,信用というリスク,名为信任的风险,fixed_expression,0,candidate,夕呼/柏木 discussion,JP repeated thematic phrase,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,repeat consistently while allowing sentence grammar,,full_read_manual_addition
photonflowers-ex-terms-v1.0,絶技・噴射気流殺,绝技·喷射气流杀,comic_move,0,candidate,醍三郎,JP explicit move name,fb77f496b2a4de8ef6512f9d459086209f5173314323888c082a9c36720c3437,comic named move,,full_read_manual_addition
photonflowers-ex-terms-v1.0,武,白银武,character,1402,confirmed,Extra speaker/entity,origin/main glossary + JP identity,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label is the Extra protagonist,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,純夏,鉴纯夏,character,631,confirmed,Extra speaker/entity,origin/main glossary + JP identity,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,冥夜,御剑冥夜,character,461,confirmed,Extra speaker/entity,origin/main glossary + JP identity,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,千鶴,榊千鹤,character,348,confirmed,Extra speaker/entity,origin/main glossary + JP identity,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,慧,彩峰慧,character,223,confirmed,Extra speaker/entity,origin/main glossary + JP identity,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,壬姫,珠濑壬姬,character,189,confirmed,Extra speaker/entity,origin/main glossary + JP identity,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,タケルちゃん,小武,address_form,139,confirmed,鉴纯夏→白银武; direct/reference; Extra,formal Extra JP/CN addressing snapshot,954ef4f7dc455556110465ab9bcfe9340b2beaad9d2184a4a423042d59672869,confirmed high-frequency instance,pf:static:photonflowers11.rio:487194916:00059616 | 純夏 | 【純夏】「タケルちゃん…<03>…<03>わたしのこの身体、<03>キューって抱き締めて…<03>…<03>」<01> || pf:static:photonflowers11.rio:487194916:00059858 | 純夏 | 【純夏】「タケルちゃん…<03>…<03>あったかい…<03>…<03>」<01> || pf:static:photonflowers11.rio:487194916:00060352 | 純夏 | 【純夏】「タケルちゃん…<03>…<03>もっと、<03>もっと激しくして！」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,まりも,神宫司麻理茉,character,136,confirmed,Extra teacher/entity,origin/main glossary + formal Muv-Luv CN,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,夕呼,香月夕呼,character,134,confirmed,Extra teacher/entity,origin/main glossary + formal Muv-Luv CN,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,月詠,月咏真那,character,122,confirmed,Extra retainer/entity,origin/main glossary + formal Muv-Luv CN,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,柏木,柏木晴子,character,104,confirmed,Extra classmate/entity,origin/main glossary + JP identity,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,speaker label,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,尊人,铠衣尊人,character,80,confirmed,Extra male classmate only,origin/main glossary + route proof,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,must never inherit Alternative female identity,,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,白銀君,白银同学,address_form,69,confirmed,榊千鹤/神宫司麻理茉/凉宫茜→白银武; Extra,formal Extra JP/CN addressing snapshot,954ef4f7dc455556110465ab9bcfe9340b2beaad9d2184a4a423042d59672869,direct and reference examples agree,pf:static:photonflowers11.rio.002:30631052:00092374 | 千鶴 | 【千鶴】「白銀君、<03>ホント鑑さんのこと考えてないのね…<03>…<03>前に言ったこと全然分かってないじゃない」<01> || pf:static:photonflowers11.rio.002:30631052:00114642 | まりも | 【まりも】「あらあ、<03>白銀君じゃな――もごもご！」<01> || pf:static:photonflowers11.rio.002:630827184:00044342 | 千鶴 | 【千鶴】「白銀君…<03>…<03>」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,たけるさん,小武哥,address_form,40,confirmed,珠濑壬姬→白银武; direct/reference; Extra,formal Extra JP/CN addressing snapshot,954ef4f7dc455556110465ab9bcfe9340b2beaad9d2184a4a423042d59672869,confirmed high-frequency instance,pf:static:photonflowers11.rio:487194916:00049008 | 壬姫 | 【壬姫】「あー、<03>たけるさん顔が紅いよー？」<01> || pf:static:photonflowers11.rio.002:30631052:00099884 | 壬姫 | 【壬姫】「そうですよー、<03>たけるさんちょっと変ですね～」<01> || pf:static:photonflowers11.rio.002:30631052:00102310 | 壬姫 | 【壬姫】「あははー、<03>たけるさんの顔、<03>みるみる変わっておもしろ～～い」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,冥夜様,冥夜小姐,address_form,25,confirmed,月咏/侍从→御剑冥夜,formal Extra JP/CN addressing snapshot,954ef4f7dc455556110465ab9bcfe9340b2beaad9d2184a4a423042d59672869,official examples agree,pf:static:photonflowers11.rio.002:1602830768:00137281 | 月詠 | 【月詠】「あなた様がこれを高価なものだとお感じになられたのでしたら、<03>冥夜様もさぞお喜びになるでしょう」<01> || pf:static:photonflowers11.rio:487890932:00103511 |  | 冥夜様も良くご存じの大空寺グループの御令嬢がこれに該当致します。<01> || pf:static:photonflowers11.rio:487890932:00217943 | 月詠 | 【月詠】「冥夜様、専用機離陸の時間が迫っております。外に空港までの足を待たせてございますのでお急ぎを」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,純夏ちゃん,纯夏,address_form,18,confirmed,铠衣尊人/珠濑壬姬→鉴纯夏; Extra,formal Extra JP/CN addressing snapshot,954ef4f7dc455556110465ab9bcfe9340b2beaad9d2184a4a423042d59672869,official examples retain given name,pf:static:photonflowers11.rio.002:1238534540:00052910 | 壬姫 | 【壬姫】「純夏ちゃんが出ていったきりだよ…<03>…<03>」<01> || pf:static:photonflowers11.rio.002:1238534540:00054366 | 壬姫 | 【壬姫】「これ…<03>…<03>純夏ちゃんから。<0A>お弁当だって」<01> || pf:static:photonflowers11.rio.002:1238534540:00059414 | 尊人 | 【尊人】「でも、<03>純夏ちゃんの言うことにも一理あるって」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,白陵,白陵,institution_short_name,17,confirmed,Extra school context,origin/main glossary,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,exact applicable match,pf:static:photonflowers11.rio.002:630827184:00063742 | 武 | 【武】「ああ、<03>なるほど。<0A>白陵大に上がる運動部の連中はやっと少し暇になったもんなぁ」<01> || pf:static:photonflowers11.rio.002:1162587616:00071160 |  | みんな白陵大に進むとはいえ、<03>学部なんかもバラバラだしな。<01> || pf:static:photonflowers11.rio.002:1391025672:00129019 | 武 | 【武】「もしかして…<03>…<03>さっき白陵の屋上に居ましたか？」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,神代・巴,神代・巴,public_glossary_exact,13,confirmed,exact chapter context,origin/main glossary,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,applicable exact public glossary match,pf:static:photonflowers11.rio.002:1602830768:00134029 | 神代・巴・戎 | 【神代・巴・戎】「はーい！」<01> || pf:static:photonflowers11.rio.002:1602830768:00135027 | 神代・巴・戎 | 【神代・巴・戎】「わかりましたー！」<01> || pf:static:photonflowers11.rio.002:1602830768:00135403 | 神代・巴・戎 | 【神代・巴・戎】「…<03>…<03>…<03>…<03>」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,神代・巴・戎,神代・巴・戎,public_glossary_exact,12,confirmed,exact chapter context,origin/main glossary,e9ee9faffb2ef37bee94ee3d5c9a185623af6e2a2997a85a474f8a4629c4410c,applicable exact public glossary match,pf:static:photonflowers11.rio.002:1602830768:00134029 | 神代・巴・戎 | 【神代・巴・戎】「はーい！」<01> || pf:static:photonflowers11.rio.002:1602830768:00135027 | 神代・巴・戎 | 【神代・巴・戎】「わかりましたー！」<01> || pf:static:photonflowers11.rio.002:1602830768:00135403 | 神代・巴・戎 | 【神代・巴・戎】「…<03>…<03>…<03>…<03>」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,榊さん,榊,address_form,10,confirmed,鉴纯夏→榊千鹤; Extra,formal Extra JP/CN addressing snapshot,954ef4f7dc455556110465ab9bcfe9340b2beaad9d2184a4a423042d59672869,official examples agree,pf:static:photonflowers11.rio.002:30631052:00071780 | 純夏 | 【純夏】「えっとねー…<03>…<03>…<03>…<03>…<03>…<03>榊さんとちょっと…<03>…<03>」<01> || pf:static:photonflowers11.rio.002:1097218736:00028376 | 純夏 | 【純夏】「えへへー、<03>榊さん達にお願いして猛特訓したんだ！」<01> || pf:static:photonflowers11.rio.002:1162587616:00061262 | 純夏 | 【純夏】「うん！　榊さんにはね、<03>１番お世話になったんだよ」<01>,mechanical_scan_reviewed
photonflowers-ex-terms-v1.0,月詠さん,月咏,address_form,9,confirmed,白银武/鉴纯夏→月咏真那; Extra,formal Extra JP/CN addressing snapshot,954ef4f7dc455556110465ab9bcfe9340b2beaad9d2184a4a423042d59672869,official examples agree,pf:static:photonflowers11.rio.002:1391025672:00127805 | 武 | 【武】「月詠さん…<03>…<03>どうしてこれを？」<01> || pf:static:photonflowers11.rio.002:1602830768:00130279 | 壬姫 | 【壬姫】「つっ…<03>…<03>月詠さんっ！」<01> || pf:static:photonflowers11.rio.002:1602830768:00132047 | 壬姫 | 【壬姫】「月詠さん…<03>…<03>冥夜ちゃんに…<03>…<03>おめでとうって…<03>…<03>伝えてください」<01>,mechanical_scan_reviewed
