"call_order","id","rio_file","scene","speaker_jp","jp_text","cn_text"
"58","pm:static:photonmelodies11.rio.002:1214091360:00219090","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「――ぬうううぅぅぅ～～～ッ！！」<01>","【清十郎】「――唔呜呜呜呜～～～！！」<01>"
"59","pm:static:photonmelodies11.rio.002:1214091360:00219212","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","…<03>…<03>想像するだけで激しくムカッ腹が立つぞッ！
――そのような不名誉極まりない死に様は真壁家末代までの恥辱ッ！！<01>","…<03>…<03>光是想象，就让我怒火中烧！
――如此不名誉的死法，足以令真壁家世世代代蒙羞！！<01>"
"60","pm:static:photonmelodies11.rio.002:1214091360:00219574","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「――うッ！？　い、<03>いかんっ！！」<01>","【清十郎】「――呃！？　不、<03>不好！！」<01>"
"61","pm:static:photonmelodies11.rio.002:1214091360:00219686","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","あまりの怒りで頭に血が上りすぎたか！？　目眩が…<03>…<03>！！<01>","难道是气得太厉害，血全冲到头上了！？　头晕…<03>…<03>！！<01>"
"62","pm:static:photonmelodies11.rio.002:1214091360:00219842","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","こ、<03>こういうときは深呼吸だ。
脳細胞に新鮮な酸素を供給し思考を明晰化しなければ…<03>…<03>！<01>","这、<03>这种时候要深呼吸。
给脑细胞送点新鲜氧气，让脑子清醒起来…<03>…<03>！<01>"
"63","pm:static:photonmelodies11.rio.002:1214091360:00220118","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「ス～～～～、<03>ハ～～～～～。
ス～～～～、<03>ハ～～～～～…<03>…<03>」<01>","【清十郎】「吸～～～～、<03>呼～～～～～。
吸～～～～、<03>呼～～～～～…<03>…<03>」<01>"
"64","pm:static:photonmelodies11.rio.002:1214091360:00220298","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","…<03>…<03>む？！<01>","…<03>…<03>嗯？！<01>"
"65","pm:static:photonmelodies11.rio.002:1214091360:00220336","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「――見えたッ！」<01>","【清十郎】「――我明白了！」<01>"
"66","pm:static:photonmelodies11.rio.002:1214091360:00220408","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","さすが兄上達の金言。
この清十郎、<03>見切りました――いま何を成すべきかを！<01>","不愧是兄长们的金玉良言。
我清十郎，<03>已经悟出了――此刻该做什么！<01>"
"67","pm:static:photonmelodies11.rio.002:1214091360:00220780","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「フッ…<03>…<03>」<01>","【清十郎】「哼…<03>…<03>」<01>"
"68","pm:static:photonmelodies11.rio.002:1214091360:00220850","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","…<03>…<03>残念だったな欧州よ、<03>よく覚えておくがいい。
真壁の男に一度見せた技は二度と通用しない――となッ！<01>","…<03>…<03>可惜了，欧洲啊，<03>你可给我记好了。
同样的招数，对真壁家的男人绝不会奏效第二次――！<01>"
"69","pm:static:photonmelodies11.rio.002:1214091360:00221234","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「うむ、<03>集合の１０分前に戻れば問題ない」<01>","【清十郎】「嗯，<03>只要集合十分钟前回来，就没有问题」<01>"
"70","pm:static:photonmelodies11.rio.002:1214091360:00221494","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","最悪の事態に備え、<03>時間の許す限り周辺状況の確認をしておく。
見逃しがちな盲点だが、<03>そもそも集合場所から離れることを禁じられてはいない。<01>","为了防备最坏事态，<03>我要趁时间还来得及，尽量摸清周边情况。
这一点很容易被忽略，<03>但说到底，也没人禁止我离开集合地点。<01>"
"71","pm:static:photonmelodies11.rio.002:1214091360:00222136","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「そうと決まれば…<03>…<03>」<01>","【清十郎】「那就这么办…<03>…<03>」<01>"
"72","pm:static:photonmelodies11.rio.002:1214091360:00222224","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","念のため腕時計のアラームをセットし、<03>輝く朝靄が立ちこめる中、<03>地下ターミナルのゲート前の舗装路を左手の森に向かい歩を進める。<01>","为防万一，我先设好腕表闹钟，<03>随后迎着闪耀的朝雾，<03>沿地下站口前的铺装路朝左手边的森林走去。<01>"
"73","pm:static:photonmelodies11.rio.002:1214091360:00222752","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","太陽の位置と時間から方向を予測し北へ向かう。
ＢＥＴＡの上陸を想定する以上、<03>ドーバー海峡がある南に向かう選択はあり得ない。<01>","我根据太阳的位置与时间推测方向，向北前进。
既然假定 BETA 从多佛海峡登陆，<03>那么朝南前往海峡方向，绝不可能是正确选择。<01>"
"74","pm:static:photonmelodies11.rio.002:1214091360:00223278","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","朝靄に分け入るように舗装路を進む。
湿り気を帯びた空気が全身に纏わり付くが不快ではない。<01>","我沿着铺装路前行，仿佛一步步拨开朝雾。
湿润的空气缠绕全身，却并不令人不快。<01>"
"75","pm:static:photonmelodies11.rio.002:1214091360:00223622","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","さすが英国は北海道より高緯度だけのことはある。
だが、<03>不思議なことにそれほど寒く感じないのは、<03>海流や大陸との位置関係による気候のせいだろうか。<01>","英国不愧比北海道纬度还高。
不过，<03>奇怪的是这里并没有想象中那么冷，<03>大概是海流和地理位置造就的气候吧。<01>"
"76","pm:static:photonmelodies11.rio.002:1214091360:00224174","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「む～～、<03>しかし…<03>…<03>」<01>","【清十郎】「唔～～，<03>可是…<03>…<03>」<01>"
"77","pm:static:photonmelodies11.rio.002:1214091360:00224318","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","勇んで北に向かったは良いが、<03>進めど進めど森の木々以外に特になにもない。
朝靄で遠くが見通せないのも難儀だ。<01>","虽说我气势十足地朝北走来，<03>可无论前进多久，除了森林树木之外都没有什么特别的东西。
朝雾遮蔽远处视野，也着实棘手。<01>"
"78","pm:static:photonmelodies11.rio.002:1214091360:00224738","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","ぬうう…<03>…<03>このままでは犬死には必定。
事態を打開できる何かを見つけなければ…<03>…<03>！<01>","唔呜呜…<03>…<03>这样下去，我必定会白白送死。
必须找到什么东西来打破困局…<03>…<03>！<01>"
"79","pm:static:photonmelodies11.rio.002:1214091360:00225058","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「…<03>…<03>それにしても、<03>よくも無事でいたものだな」<01>","【清十郎】「…<03>…<03>不过话说回来，<03>这里居然还能安然无恙」<01>"
"80","pm:static:photonmelodies11.rio.002:1214091360:00225264","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","ユーラシアを見れば一目瞭然、<03>ＢＥＴＡに占領された地域は自然、<03>人工問わず根こそぎ不毛の荒野に均されてしまう。<01>","只要看看欧亚大陆便一目了然，<03>凡是被 BETA 占领的地区，无论自然景观还是人造设施，<03>都会被彻底夷为寸草不生的荒野。<01>"
"81","pm:static:photonmelodies11.rio.002:1214091360:00225752","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","…<03>…<03>一次的な支配下にあった西日本でさえ、<03>自然はほぼ壊滅してしまったほどだ。<01>","…<03>…<03>就连曾短暂沦陷的西日本，<03>自然环境也几乎毁灭殆尽。<01>"
"82","pm:static:photonmelodies11.rio.002:1214091360:00226092","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","","このグレートブリテン島は１９８５年にＢＥＴＡの大規模上陸を受け、<03>ロンドン南部まで侵攻を許している。
上陸地点となったこの地域に、<03>これほどの自然が残るなど奇蹟レベルの話ではない。<01>","大不列颠岛曾在1985年遭到 BETA 大规模登陆，<03>敌军一度推进至伦敦南部。
作为当年登陆点的这片区域，如今还能保有如此茂盛的自然景观，<03>早已不是“奇迹”二字足以形容的了。<01>"
"83","pm:static:photonmelodies11.rio.002:1214091360:00226624","photonmelodies11.rio.002","crsa:photonmelodies11.rio.002@1214091360","清十郎","【清十郎】「…<03>…<03>そうか。
そういうことか」<01>","【清十郎】「…<03>…<03>原来如此。
是这么回事啊」<01>"
