"jp","cn","occurrences","basis"
"ヘルガローゼ・ファルケンマイヤー","赫尔加罗泽·法尔肯迈尔","1","沿用本篇既定人名译法，并以完整姓名首次正式登场行作为代表定位。"
"ベスターナッハ","贝斯特纳赫","61","按布丽吉特全名与军衔命中统一。"
"ララーシュタイン","拉拉施泰因","81","按格哈德全名与军衔命中统一。"
"ルナテレジア・ヴィッツレーベン","露娜特蕾西娅·维茨莱本","1","统一旧表中的 Luna 系列写法为“露娜”，并保留完整姓名的既定音译。"
"鎧衣左近","铠衣左近","3","沿用系列角色汉字名。"
"兄・貴八郎 / 八兄・貴八郎","兄长贵八郎 / 八哥贵八郎","5","同一人物姓名固定为“贵八郎”；原文只说兄时译“兄长贵八郎”，明确八兄时译“八哥贵八郎”，保留原文信息差异。"
"八兄・貴八郎","八哥贵八郎","2","按中文兄弟排行自然译为“八哥”，不用日式汉文式“八兄”。"
"六兄・介六郎 / 次兄・孝次郎 / 五兄・丞五郎","六兄介六郎 / 二哥孝次郎 / 五哥丞五郎","5","叙述性称号六兄保留家族排行色彩；次兄、五兄在中文独白中分别自然化为二哥、五哥，并固定姓名。"
"誠一郎兄 / 誠一郎兄さん","诚一郎兄长","4","按清十郎正式、敬重长兄的关系固定为“诚一郎兄长”，避免机械保留日语兄さん或随场景漂移。"
"アイヒベルガー少佐","艾希贝尔格少校","59","按中文军衔体系统一少佐为少校，并与全文说话人标签一致。"
"ララーシュタイン大尉","拉拉施泰因上尉","76","按中文军衔体系统一大尉为上尉，并与全文说话人标签一致。"
"伊隅大尉","伊隅上尉","72","按中文军衔体系统一大尉为上尉，并与全文说话人标签一致。"
"ブラウアー少尉 / ヴォルフガング・ブラウアー","布劳尔少尉 / 沃尔夫冈·布劳尔","145","人名沿用既定音译；本段 JP 明确出现“同じ男同士”“この男”“あの男”，人物性别统一按男性处理。"
"伊隅大尉・速瀬中尉","伊隅上尉、速濑中尉","1","组合说话人标签按中文军衔体系统一，并保留两名角色顺序。"
"ベルナデッド・ル・ティグレ・ド・ラ・リヴィエール / ベルナデッド / リヴィエール","贝尔纳黛特·勒蒂格雷·德·拉·里维埃尔 / 贝尔纳黛特 / 里维埃尔","2","依据仓库总术语表中已确认的同一 TDA / Euro Front 角色译名，统一为贝尔纳黛特相关译名。"
"イルフィ","伊尔菲","27","作为伊尔芙莉德的固定昵称音译为“伊尔菲”，与全名区分并保持亲密关系。"
"ジーク様 / ジークリンデ様","齐格大人 / 齐格琳德大人","24","按同一人物的昵称与全名分别固定；様结合贵族上下级与崇敬关系保留为“大人”，不是机械套用。"
"ヘルガ","赫尔嘉","241","作为完整姓名赫尔加罗泽的爱称固定为“赫尔嘉”，保留妄想中骤然拉近距离的笑点。"
"ルナ","露娜","305","统一 Luna 系列中文写法为“露娜”，并保留爱称相对完整姓名的亲近功能。"
"清十郎君","清十郎","40","君在当前同辈亲近关系中不机械落字，中文直接称“清十郎”更自然；敬意和亲密由语气体现。"
"まりも","真理茂","1","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"みちる","美知留","2","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"イメージ","印象","1","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"オッケー","OK","1","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"オルランディ","奥兰迪","78","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"クラス","班级","1","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"コマンドポスト","指挥所","10","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ゴールドメン","戈德曼","94","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ゴールドメン局長","戈德曼局长","94","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"シルヴィオ","西尔维奥","1349","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"シルヴィオ・オルランディ","西尔维奥·奥兰迪","33","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"シルヴィオ・宗像中尉","西尔维奥、宗像中尉","2","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"チーム","小队","6","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"テープレコーダー","录音机","97","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ドクター","博士","366","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ドクター香月","香月博士","321","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ファルソ","Falso","8","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ブラジル","巴西","45","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"プレゼント","礼物","2","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ルール","规则","1","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"レベル","等级","7","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"レンジ","射程","6","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"レンツォ","伦佐","365","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ヴァルキリーズ","Valkyries","16","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"一同","众人","6","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"京塚","京塚","41","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"伊隅","伊隅","75","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"夕呼","夕呼","39","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"女たち","女生们","5","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"女性一同","女性们","3","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"女性士官１","女军官1","1","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"女性士官２","女军官2","5","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"女１","女性1","3","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"宗像","宗像","139","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"宗像中尉","宗像中尉","110","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"整備兵","整备兵","18","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"機械化歩兵","机械化步兵","20","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"機械化装甲歩兵","机械化装甲步兵","13","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"水月","水月","11","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"涼宮","凉宫","83","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"涼宮中尉","凉宫中尉","63","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"涼宮少尉","凉宫少尉","14","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"涼宮少尉・涼宮中尉","凉宫少尉、凉宫中尉","1","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"突入部隊隊長","突入部队队长","4","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"美冴","美冴","684","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"美登里川博士","美登里川博士","71","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"職員","职员","14","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"茜","茜","6","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"警備兵","警备兵","15","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"警備部隊員１","警备部队员1","3","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"護衛","护卫","4","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"速瀬","速濑","100","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"速瀬中尉","速濑中尉","91","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"遙","遥","7","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"鎧衣課長","铠衣课长","30","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"霞","霞","67","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"風間","风间","85","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"風間少尉","风间少尉","70","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ゲルハルト・ララーシュタイン / 音速の男爵","格哈德·拉拉施泰因 / 音速男爵","7","与本篇前序场景既定译名统一；本句 JP 不含“フォン”，不从其他变体擅自补入。"
"視察研修","考察学习","14","指清十郎赴欧洲进行的观摩学习任务，中文用考察学习比视察研修更自然。"
"５ゲームマッチ / ストレート負け","五局三胜 / 直落三局","2","按中文体育赛事惯用说法处理；五局比赛先得三局获胜，连失三局即“直落三局”。"
"人間的な、あまりにも人間的な","《人性的,太人性的》","1","采用尼采作品通行中文名。"
"ボインで悩殺作戦","巨乳迷魂作战","1","A-01成员反复使用的戏称作战名，固定意译。"
"間引き作戦","削减作战","3","指定期削减BETA数量、维持防区压力的作战；功能上不等于完全清剿。"
"甲21号目標 / 佐渡島ハイヴ / 横浜ハイヴ","甲21号目标 / 佐渡岛巢穴 / 横滨巢穴","1","保留系列目标编号与地名；ハイヴ按篇内固定译法统一为“巢穴”。"
"任官","受衔 / 正式受衔","11","中文不直接保留日式“任官”；在本场军官委任语境中用“受衔”自然且能保留制度含义。"
"戦略的転進","战略转进","1","保留军事委婉语“战略转进”的自我美化意味，不泛化成普通转身或改变计划。"
"起床ラッパ","起床号","4","中文军队语境通行“起床号”，无需按字面译成起床喇叭。"
"グランド・ゼロ","Ground Zero","1","原文为英文式固有表达，保留拉丁拼写。"
"糧食","军粮","3","在军队供餐语境统一译为自然军事中文“军粮”，不用泛化的“粮食”。"
"火力演習 / 欧州連合","火力演习 / 欧盟","29","采用现代中文通行军事与组织称呼；欧州連合固定简称“欧盟”，不机械译作“欧洲联盟”。"
"ＨＱオペレーター","HQ通讯员","2","保留原文HQ缩写；オペレーター在军事广播语境中译为通讯员。"
"高機動車","高机动越野车","2","军用高机动车辆在本场景中高速穿越非铺装路面，补出越野属性便于中文玩家理解。"
"基地群総司令 / 基地群総司令官","基地群总司令 / 基地群总司令官","4","普通提及时用“基地群总司令”，原文明确総司令官殿时保留完整职名“基地群总司令官阁下”。"
"担当官","负责军官","7","译为中文自然且能体现军职身份的“负责军官”，不用日式残留“担当官/负责官”。"
"少佐 / 大尉 / 中尉 / 少尉","少校 / 上尉 / 中尉 / 少尉","899","使用现代中文通行军衔，消除少佐、大尉等日式军衔残留；中尉、少尉本身与中文相同。"
"少尉殿","少尉阁下","29","此处殿刻意加强慌乱中的正式距离感，译为“阁下”；不作为所有少尉称呼的一般规则。"
"疑似生体","拟生体；眼部语境译“仿生眼”","4","本篇语境明确指独眼卫士等待移植的眼部替代物，故正文按功能译为仿生眼。 | 指为脑髓准备的仿生身体，固定为拟生体。 | Resurrection 指完整拟生身体，Adoration 结合失去单眼的明确语境具体译为仿生眼；属于语境化拆分而非术语冲突。"
"異端審問","异端审判","2","采用中文通行历史术语“异端审判”，避免日式汉字直搬“异端审问”。"
"魔女狩り","猎巫","2","采用中文通行说法“猎巫”，不用生硬直译“魔女狩猎”。"
"テンピュール","TEMPUR泰普尔","1","清十郎将触感联想到记忆棉品牌的笑料，保留拉丁字母品牌并附通行中文名。"
"怨霊子光線","怨灵子光线","1","逐成分保留自造武器名的中二感，中文可直接理解。"
"感情を隔離する秘伝の極意","封闭感情的秘传奥义","1","保留招式般的命名和中二效果，同时用“封闭感情”避免日式“隔离感情”。"
"無重力双丘","无重力双峰","1","保留原文自造词的夸张命名感，以中文可理解的“双峰”替代生硬“双丘”。"
"真壁式書類作成術","真壁式文书撰写术","1","保留家传绝技般的命名感，以“文书撰写”自然表达書類作成。"
"魔眼","魔眼","5","原词可直接形成自然中文中二术语，保留传闻的命名感。"
"最強の迷彩・段ボール箱","最强迷彩·纸箱","3","保留“纸箱是最强迷彩”的潜行游戏典故与命名感，使用中点形成固定称号。"
"さよならジュピター","再见了,木星","1","采用小松左京作品已见中文书名《再见了，木星》，同时与本段连续木星双关完全吻合。"
"裸の付き合い","坦诚相见","6","用中文成语“坦诚相见”同时承载真诚交往与赤裸相见的双关；后句继续回扣该译法。"
"胸の谷間","胸前的沟壑","1","保留原文山谷比喻和清十郎的过度分析，以“胸前的沟壑”避免生硬“胸间谷地”。"
"フェイズド・アレイ広域走査","相控阵广域扫描","1","采用中文通行技术词“相控阵”，保留军武式夸张命名的笑点。"
"うまくヤッた / 『ヤッ』をカタカナにする","‘干’得不错 / 特意把‘干’说得暧昧","1","中文无法通过片假名复现强调，改用引号和“说得暧昧”重建同一笑点；不能直译成无法成立的“把干写成片假名”。"
"真壁獅子心王","真壁狮心王","1","保留历史称号“狮心王”的识别度与清十郎自我吹嘘的命名笑点。"
"武運長久","武运昌隆","2","军人之间祝愿战场平安与武运的正式告别语，使用中文固定表达。"
"お持て成し","待客之道","7","反复出现且承载人物误会的关键词，统一为有识别度又自然的“待客之道”。"
"食は文化の極み","食乃文化之精髓","1","保留清十郎刻意庄重的汉文式句型，但将極み译为语义准确的“精髓”。"
"明鏡止水","明镜止水","1","中文已有对应成语与武侠修辞感，保留清十郎中二而郑重的自我鼓舞。"
"おしぼり","湿巾","27","指日式服务用的湿巾；必须与同句改口的蒸しタオル区分才能保留误会笑点。"
"蒸しタオル","热毛巾","1","清十郎对湿巾的更精确改口，译为热毛巾才能体现温度和日常用途。"
"騎士の誓い","骑士的誓言","1","伊尔芙莉德对拥抱和约定的命名，保留骑士道语境的仪式感。"
"武士に二言はない","武士绝不食言","2","清十郎与伊尔芙莉德约定的重要回声，使用简洁可识别的中文固定译法。"
"アラスカ","阿拉斯加","2","采用通行中文地名。"
"アルジェリア","阿尔及利亚","6","采用通行中文国名。"
"アルボラン海","阿尔沃兰海","1","采用现实地理通行中文名。"
"イタリア","意大利","21","采用通行中文国名。"
"スーダン","苏丹","1","采用通行中文国名。"
"ユーコン","育空","3","采用通行中文地名。"
"佐渡島","佐渡岛","1","沿用汉字地名并简体化。"
"シェトランド諸島 / メインランド島 / ホールセイ島","设得兰群岛 / 梅恩兰岛 / 沃尔赛岛","2","沿用现有地名译法并保持三者地理层级；不能把梅恩兰岛当成泛称“大陆岛”。"
"プール","泳池","14","游泳训练场景固定为泳池。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。 | 跨篇统一采用更简洁自然的“泳池”。"
"おしぼりの君","湿巾小姐","9","这是清十郎临时赋予、后续可识别人物的命名式外号，保留“湿巾”这一关键意象，不能泛化成普通称呼。"
"帝都の怪人","帝都怪人","1","保留外号的简洁识别度。"
"前衛砲兵","前卫炮兵","2","原文刻意使用表面矛盾的军事称号，直译能保留其悖论感，后文也专门解释这一矛盾。"
"プレイ","play","3","若只译成“比赛”会完全丢失下一句对措辞的吐槽；保留易产生歧义的英文 play 才能延续原笑点。"
"ATSF計画 / YF-22 / YF-23","ATSF 计划 / YF-22 / YF-23","1","原文直接出现拉丁字母与机型代号，完整保留 ATSF、YF-22、YF-23，只翻译通用词“计划”。"
"ＢＥＴＡ","BETA","85","原文缩写必须保留。"
"シューメイカー・レヴィ彗星","苏梅克-列维彗星","1","采用中文通行音译“苏梅克-列维”，不沿用旧译“舒梅克列维”。原文未写9号，正文不擅自补数字。"
"ツインジュピター / ロシュの限界 / ホットジュピター / ジュピターゴースト","双木星 / 洛希极限 / 热木星 / 木星鬼影","3","洛希极限、热木星采用通行中文术语；Jupiter’s Ghost确有既有天文称呼，正文统一“木星鬼影”；双木星保留清十郎临时命名的直观双关。"
"ベスターナッハ家","贝斯特纳赫家","1","沿用本篇人名体系中的既定音译，并以家族全称固定。"
"ＥＣＴＳＦ計画","ECTSF计划","3","原文直接使用拉丁缩写，必须保留ECTSF，仅将計画译为“计划”。"
"騎士道精神 / 武士道","骑士道精神 / 武士道","23","采用中文通行概念名；两者必须区分，不能为求顺口合并成泛称“武人精神”。"
"停滞工作員","停滞特工","15","指长期潜伏、等待启用的特工，固定为停滞特工。"
"協力者","协助者","7","保留与驻地特工不同的合作身份。"
"現地工作員","驻地特工","2","与一般外勤特工区分，强调长期驻地身份。"
"スパイフィルター","间谍过滤器","5","作为反复出现的装置/程序名称固定，不与一般筛查混用。"
"エレメント","双机编队","4","沿用仓库既有军事文本的固定译法，明确其为两机编组，并与后续“最小战斗单位是两机一组”的说明一致。"
"突撃前衛","突击前卫","5","保留系列既有岗位译名，并通过上下文解释其职责，不改成泛称“先锋”。"
"テストベッド","试验平台","1","按技术验证用途自然意译。"
"データ","数据","19","技术与训练语境固定为数据。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"タクティクス横臥ＤＳ / 戦術的横臥ダイレクトスキャンティー","战术横卧 DS / 战术横卧·直接扫裙底(DS)","2","保留原文明确出现的 DS 缩写；展开形式译出“直接扫裙底”的笑点，并在括号中回扣 DS。"
"カンフーの大スター","功夫巨星","1","原文未直接点名，保留泛指“功夫巨星”，不擅自补入人物姓名。"
"ジョン・ブル","约翰牛","1","采用中文既有称呼“约翰牛”，并在句中明确指英国人的味觉。"
"ソウルフード","家乡味","1","按日语语境译为自然中文“家乡味”，不用英语直译腔“灵魂食物”。"
"ヴァルキリーマム","Valkyrie Mom","1","呼号保留英文风格，与 Valkyries 同一命名体系。"
"バルキリーマム","Valkyrie Mom","1","戏仿场景中的片假名变体仍统一为 Valkyrie Mom。"
"書道 / 茶道 / 茶室","书法 / 茶道 / 茶室","4","書道采用中文通行称呼“书法”；茶道、茶室已有稳定中文词，保留其专门含义。"
"大和撫子 / ヤマトナデシコ","大和抚子","1","中文读者已有较稳定认知，保留专名比泛化为“淑女”更能承接伊尔芙莉德特意询问日本说法的语境。"
"茶を点てる / 和の精神","点茶 / ‘和’的精神","1","茶道语境使用准确术语“点茶”；和保留引号与核心汉字，避免泛化为普通“和平精神”。"
"正座","跪坐","3","面向中文玩家采用一眼可懂的“跪坐”，避免把日文词形“正座”直接残留在普通对白。"
"禅","禅","6","中文已有稳定概念“禅”，无需扩写为生硬的“名为禅的教诲”；具体含义由后续对白说明。"
"アンダースコート","运动安全裤","1","采用中文运动服饰中的自然称呼“运动安全裤”；同时保留后句“又不是内裤”的喜剧对照。"
"褌 / フンドシ","兜裆布 / Fundoshi","2","普通叙述采用易懂的“兜裆布”；需要保留日语发音笑点时使用罗马字 Fundoshi，避免生僻字“裈”妨碍阅读。"
"グリペン","鹰狮","1","采用Saab JAS 39 Gripen在中文中的通行译名“鹰狮”。"
"ラファール","阵风","8","采用Dassault Rafale在中文中的通行译名“阵风”。"
"吹雪","吹雪","5","系列固有机体名，保留既有汉字写法。"
"ＥＦ－２０００","EF-2000","19","原文直接使用拉丁字母与数字型号，按规范保留并统一为半角显示。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"ハイパーセラミック","超陶瓷","2","采用简洁技术译名，已反查全部命中。"
"Ｇ弾","G弹","3","保留原文 G 缩写并中文化类别后缀。"
"Ｓ－１１爆雷","S-11爆雷","1","保留原文S-11编号及爆雷类别，不擅自缩窄成普通深水炸弹。"
"ＭＬＲＳ / ＡＬＭ","MLRS / ALM","2","原文只提供缩写，按规则完整保留，不根据外部英文槽擅自展开全称。"
"介錯","介错","1","保留有明确武家文化含义的专门词“介错”，上下文已呈现其在撑不住时结束痛苦的夸张用途。"
"常在戦場の心得 / サムライ","常怀身在战场的精神 / Samurai","20","常在戦場不硬套日文四字句壳，按中文释为“常怀身在战场”；外人口中的片假名サムライ保留为 Samurai，维持文化标签视角。"
"ゲーム","局","6","本篇均指壁球比赛局数。"
"スカッシュ / フェンシング / 水泳","壁球 / 击剑 / 游泳","26","三项均采用中文通行运动名称，并在三个选项及后续分支中保持一致。"
"欧州統合火力演習","欧洲联合火力演习","7","保留既有固定译名；統合在联合演习语境中译为“联合”，避免生硬的“统合”。"
"抑揚なし","语调毫无起伏","3","这是可见的演出说明，译为玩家易懂的“语调毫无起伏”，不用日式专业词“无抑扬”。"
"指向性蛋白","定向蛋白","3","按功能译为定向蛋白，避免生硬直译。"
"擬似生体技術","拟生体技术","1","去除日式“拟似”句壳，固定为自然中文技术名。"
"起動キー","启动信号","3","在蛋白触发机制中指启动条件而非实体钥匙。"
"欧州エスタブリッシュメント / ショートケーキ","欧洲权贵阶层 / 奶油蛋糕","3","establishment按政治社会语境译“权贵阶层”；日式ショートケーキ在未明确水果时译成玩家易懂的“奶油蛋糕”，不擅自添加草莓。"
"坐禅 / 悟り / 煩悩","坐禅 / 开悟 / 烦恼","10","采用中文已有佛教概念；悟り在对白中统一“开悟”，煩悩统一“烦恼”，坐禅保留通行专名。"
"七英雄","七英雄","9","原词本身可直接形成自然中文称号，保留命名识别度。"
"衝撃の薔薇","冲击蔷薇","1","保留冲击力与蔷薇意象的称号式意译。"
"音速の男爵","音速男爵","4","采用自然凝练的意译，保留速度与贵族身份的双重意象。"
"黒き狼王","黑狼王","3","采用简洁有力且已在本篇使用的意译，保留称号识别度。"
"英雄伝の七騎士","英雄传说中的七骑士","5","英雄伝不是作品槽位或普通“英雄传”，按语境译为“英雄传说”；七騎士保留固定群体称呼。"
"女の子","女孩子","1","按日常口语自然翻译。"
"母上","母亲","8","保留梦境中的古雅敬爱语气，但不直接残留日式亲属称谓；清十郎的自称另用“孩儿”体现旧式家风。"
"男の子","男孩子","5","按日常口语自然翻译。"
"兵士","士兵","5","普通军人称谓固定。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"博士","博士","93","研究者称谓保留。 | 逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"清十郎様","清十郎大人","4","此处様的夸张敬爱功能就是笑点，保留为“大人”；不作为现实场景中様的一般规则。"
"小僧","小子","26","固定为“小子”以保留粗豪调侃；不用年龄更幼的“小鬼”，也不机械保留日语称谓。"
"貴卿","卿","3","与拉拉施泰因自称“吾辈”的夸张文风配套保留“卿”；仅限该角色刻意装腔时使用。"
"後藤機関","后藤机关","19","日语秘密机关语境采用“机关”，不误作一般机构。"
"欧州連合","欧盟","32","采用自然且通行的中文简称，已反查全部命中。"
"第六局","第六局","2","保留情报机关局级编号。"
"日本帝国本土防衛陸軍・生物化学研究部","日本帝国本土防卫陆军生物化学研究部","1","保留组织全称及层级。"
"欧州連合情報軍","欧盟情报军","6","由欧盟固定译名派生，保持组织层级。"
"ＳＰ","SP","8","近身警护语境中的原文缩写直接保留。"
"オペレーター","操作员","27","舰桥职务固定为操作员。"
"オペレーターＡ","操作员A","12","保留岗位字母编号。"
"オペレーターＢ","操作员B","9","保留岗位字母编号。"
"オペレーターＣ","操作员C","4","保留岗位字母编号。"
"テュフォーン副艦長","提丰副舰长","10","舰名与职务固定。"
"テュフォーン艦長","提丰舰长","11","舰名与职务固定。"
"各リーダー","各队长","2","无线电群体应答按队长处理。"
"正調・真壁式按摩術","正宗真壁式按摩术","1","保留清十郎为普通按摩冠以流派名称的郑重笑点；正調在此译为自然的“正宗”。"
"正調・真壁式泳法","正宗真壁式泳法","1","与正調・真壁式按摩術的“正宗真壁式按摩术”保持构词一致，保留清十郎给普通技能冠以家传流派名的笑点。"
"スウィング・バイ","引力弹弓","1","采用中文玩家更易理解且准确的“引力弹弓”，不使用生硬少见的旧译“借力飞掠”。"
"白き后狼","白狼后","6","称号具有《英雄传》固定命名感；使用“白狼后”保留白、狼与女性领袖的识别度。"
"恒星間播種","恒星间播种","1","准确保留跨恒星播种概念。"
"オルタネイティヴ４","Alternative 4","5","保留系列计划名与数字。"
"オルタネイティヴ５","Alternative 5","5","保留系列计划名与数字。"
"プロミネンス計画","Prominence计划","4","计划固有名保留拉丁拼写，与后缀计划组合。"
"ＪＩＶＥＳ / 総合仮想情報演習システム","JIVES / 综合虚拟信息演习系统","5","保留原文JIVES缩写，不从外部英文槽展开；日文系统名称按现有固定译名处理。"
"シミュレーター","模拟器","27","战术机训练设备固定译为模拟器。"
"トレイルラン・コース","越野骑乘路线","1","该句位于骑马训练场，后文早駆明确指一起策马疾驰，不能按现代徒步运动译为越野跑步道。"
"横浜基地","横滨基地","16","逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。"
"βブリッド","β-Brid","27","后文明确按 β-Brid 固定；保留希腊字母和拉丁专名。"
"サイブリッド","Cybrid","12","核心身体改造技术名，统一保留拉丁拼写 Cybrid。"
"ブリッド","Brid","39","作为 β-Brid 的词干保留拉丁写法，避免与 Cybrid 混为一谈。"
"人工ＥＳＰ発現体","人工ESP显现体","7","保留 ESP 缩写，按研究对象身份直译。"
"死の8分","死亡8分钟","14","与全角数字写法属同一设定术语，统一译名。"
"死の８分","死亡8分钟","14","指BETA大战中新任卫士首次实战时的平均存活时间，使用简洁固定译名。"
"βブリット","β-Brid","4","与 βブリッド 合并为同一研究对象。"
"サイブリット","Cybrid","4","与サイブリッド合并，统一为 Cybrid。"
