jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
テープレコーダー,录音机,contextual,本作；详见使用限制,selected-photonmelodies,42,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ドクター香月,香月博士,contextual,本作；详见使用限制,selected-photonmelodies,43,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ニミッツ,尼米兹,contextual,本作；详见使用限制,selected-photonmelodies,44,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ハワイ,夏威夷,contextual,本作；详见使用限制,selected-photonmelodies,45,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
パウル・ラダビノッド,保罗·拉达比诺德,contextual,本作；详见使用限制,selected-photonmelodies,46,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
パパ,爸爸,contextual,本作；详见使用限制,selected-photonmelodies,47,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ピアティフ,皮亚蒂芙,contextual,本作；详见使用限制,selected-photonmelodies,48,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ピアティフ・イルマ,皮亚蒂芙、伊尔玛,contextual,本作；详见使用限制,selected-photonmelodies,49,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ファーレンホルスト中尉,法伦霍斯特中尉,contextual,本作；详见使用限制,selected-photonmelodies,50,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ブラウアー少尉,布劳尔少尉,contextual,本作；详见使用限制,selected-photonmelodies,51,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ブラジル,巴西,contextual,本作；详见使用限制,selected-photonmelodies,52,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ヘルガローゼ,赫尔加罗泽,contextual,本作；详见使用限制,selected-photonmelodies,53,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ベスターナッハ中尉,贝斯特纳赫中尉,contextual,本作；详见使用限制,selected-photonmelodies,54,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ママ,妈妈,contextual,本作；详见使用限制,selected-photonmelodies,55,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ミキ,壬姬,contextual,本作；详见使用限制,selected-photonmelodies,56,provisional-selected,,仅指珠濑壬姬（壬姫）的名字读音/自称，不是独立人物美纪；来自上一轮暂定专表，不是历史全量基线。
ミュン,缪恩,contextual,本作；详见使用限制,selected-photonmelodies,57,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ユーコン,育空,contextual,本作；详见使用限制,selected-photonmelodies,58,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ユーラシア,欧亚大陆,contextual,本作；详见使用限制,selected-photonmelodies,59,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ラダビノッド,拉达比诺德,contextual,本作；详见使用限制,selected-photonmelodies,60,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ララーシュタイン大尉,拉拉施泰因上尉,contextual,本作；详见使用限制,selected-photonmelodies,61,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ルナテレジア,露娜特蕾西娅,contextual,本作；详见使用限制,selected-photonmelodies,62,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
レイン・ダンサーズ,雨舞者,contextual,本作；详见使用限制,selected-photonmelodies,63,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
レンツォ,伦佐,contextual,本作；详见使用限制,selected-photonmelodies,64,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ロート中隊,罗特中队,contextual,本作；详见使用限制,selected-photonmelodies,65,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
ヴァルキリーズ,Valkyries,contextual,本作；详见使用限制,selected-photonmelodies,66,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
上陸部隊,登陆部队,contextual,本作；详见使用限制,selected-photonmelodies,67,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
京塚,京塚,contextual,本作；详见使用限制,selected-photonmelodies,68,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
令嬢,贵族小姐,contextual,本作；详见使用限制,selected-photonmelodies,69,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
伊隅,伊隅,contextual,本作；详见使用限制,selected-photonmelodies,70,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
伊隅大尉,伊隅上尉,contextual,本作；详见使用限制,selected-photonmelodies,71,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
伊隅大尉・速瀬中尉,伊隅上尉、速濑中尉,contextual,本作；详见使用限制,selected-photonmelodies,72,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
先生ズ,老师们,contextual,本作；详见使用限制,selected-photonmelodies,73,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
全員,全员,contextual,本作；详见使用限制,selected-photonmelodies,74,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
全校学生,全校学生,contextual,本作；详见使用限制,selected-photonmelodies,75,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
冥夜,冥夜,contextual,本作；详见使用限制,selected-photonmelodies,76,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
冥夜・悠陽,冥夜、悠阳,contextual,本作；详见使用限制,selected-photonmelodies,77,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
冥夜・月詠,冥夜、月咏,contextual,本作；详见使用限制,selected-photonmelodies,78,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
冥夜・美琴・武,冥夜、美琴、武,contextual,本作；详见使用限制,selected-photonmelodies,79,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴,千鹤,contextual,本作；详见使用限制,selected-photonmelodies,80,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・慧,千鹤、慧,contextual,本作；详见使用限制,selected-photonmelodies,81,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・武,千鹤、武,contextual,本作；详见使用限制,selected-photonmelodies,82,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・純夏,千鹤、纯夏,contextual,本作；详见使用限制,selected-photonmelodies,83,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・茜,千鹤、茜,contextual,本作；详见使用限制,selected-photonmelodies,84,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴・茜・築地,千鹤、茜、筑地,contextual,本作；详见使用限制,selected-photonmelodies,85,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
千鶴子,千鹤子,contextual,本作；详见使用限制,selected-photonmelodies,86,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
博士,博士,contextual,本作；详见使用限制,selected-photonmelodies,87,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
各リーダー,各队长,contextual,本作；详见使用限制,selected-photonmelodies,88,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
壬姫,壬姬,contextual,本作；详见使用限制,selected-photonmelodies,89,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
壬姫・武,壬姬、武,contextual,本作；详见使用限制,selected-photonmelodies,90,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
壬姫・純夏,壬姬、纯夏,contextual,本作；详见使用限制,selected-photonmelodies,91,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
壬姫・美琴,壬姬、美琴,contextual,本作；详见使用限制,selected-photonmelodies,92,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
壬姫・霞,壬姬、霞,contextual,本作；详见使用限制,selected-photonmelodies,93,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
夕呼,夕呼,contextual,本作；详见使用限制,selected-photonmelodies,94,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
夕呼・まりも,夕呼、麻理茉,contextual,本作；详见使用限制,selected-photonmelodies,95,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
夕呼・武,夕呼、武,contextual,本作；详见使用限制,selected-photonmelodies,96,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
大和,大和,contextual,本作；详见使用限制,selected-photonmelodies,97,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
太平洋,太平洋,contextual,本作；详见使用限制,selected-photonmelodies,98,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
女たち,众女,contextual,本作；详见使用限制,selected-photonmelodies,99,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女官１,女官1,contextual,本作；详见使用限制,selected-photonmelodies,100,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女官２,女官2,contextual,本作；详见使用限制,selected-photonmelodies,101,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女官２・３,女官2、3,contextual,本作；详见使用限制,selected-photonmelodies,102,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女官３,女官3,contextual,本作；详见使用限制,selected-photonmelodies,103,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性,女性,contextual,本作；详见使用限制,selected-photonmelodies,104,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性の声,女声,contextual,本作；详见使用限制,selected-photonmelodies,105,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性の声１,女声1,contextual,本作；详见使用限制,selected-photonmelodies,106,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性の声２,女声2,contextual,本作；详见使用限制,selected-photonmelodies,107,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性一同,女性众人,contextual,本作；详见使用限制,selected-photonmelodies,108,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性士官,女军官,contextual,本作；详见使用限制,selected-photonmelodies,109,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性士官１,女军官1,contextual,本作；详见使用限制,selected-photonmelodies,110,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性士官２,女军官2,contextual,本作；详见使用限制,selected-photonmelodies,111,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性１,女性1,contextual,本作；详见使用限制,selected-photonmelodies,112,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女性２,女性2,contextual,本作；详见使用限制,selected-photonmelodies,113,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
女２,女2,contextual,本作；详见使用限制,selected-photonmelodies,114,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
宗像,宗像,contextual,本作；详见使用限制,selected-photonmelodies,115,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
宗像中尉,宗像中尉,contextual,本作；详见使用限制,selected-photonmelodies,116,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
巴,巴,contextual,本作；详见使用限制,selected-photonmelodies,117,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
巴・戎,巴、戎,contextual,本作；详见使用限制,selected-photonmelodies,118,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
悠陽,悠阳,contextual,本作；详见使用限制,selected-photonmelodies,119,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
悠陽・冥夜,悠阳、冥夜,contextual,本作；详见使用限制,selected-photonmelodies,120,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
慧,慧,contextual,本作；详见使用限制,selected-photonmelodies,121,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
慧・柏木,慧、柏木,contextual,本作；详见使用限制,selected-photonmelodies,122,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
戎,戎,contextual,本作；详见使用限制,selected-photonmelodies,123,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
戦術機部隊,战术机部队,contextual,本作；详见使用限制,selected-photonmelodies,124,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
技師,技师,contextual,本作；详见使用限制,selected-photonmelodies,125,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
整備兵,整备兵,contextual,本作；详见使用限制,selected-photonmelodies,126,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
月詠,月咏,contextual,本作；详见使用限制,selected-photonmelodies,127,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
月詠・真耶,月咏、真耶,contextual,本作；详见使用限制,selected-photonmelodies,128,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
柊町,柊町,contextual,本作；详见使用限制,selected-photonmelodies,129,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
柏木,柏木,contextual,本作；详见使用限制,selected-photonmelodies,130,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
柏木・壬姫,柏木、壬姬,contextual,本作；详见使用限制,selected-photonmelodies,131,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
榊原,榊原,contextual,本作；详见使用限制,selected-photonmelodies,132,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
機械化歩兵,机械化步兵,contextual,本作；详见使用限制,selected-photonmelodies,133,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
機械化装甲歩兵,机械化装甲步兵,contextual,本作；详见使用限制,selected-photonmelodies,134,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武,武,contextual,本作；详见使用限制,selected-photonmelodies,135,provisional-selected,,仅限完整【说话人】字段；一处日英槽位不对应已另记，不能据此把武通用映射为霞；来自上一轮暂定专表，不是历史全量基线。
武・ピアティフ,武、皮亚蒂芙,contextual,本作；详见使用限制,selected-photonmelodies,136,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武・冥夜,武、冥夜,contextual,本作；详见使用限制,selected-photonmelodies,137,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武・千鶴,武、千鹤,contextual,本作；详见使用限制,selected-photonmelodies,138,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武・壬姫,武、壬姬,contextual,本作；详见使用限制,selected-photonmelodies,139,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武・月詠,武、月咏,contextual,本作；详见使用限制,selected-photonmelodies,140,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武・水月,武、水月,contextual,本作；详见使用限制,selected-photonmelodies,141,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武・水月・宗像・風間,武、水月、宗像、风间,contextual,本作；详见使用限制,selected-photonmelodies,142,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武・純夏,武、纯夏,contextual,本作；详见使用限制,selected-photonmelodies,143,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武・純夏・悠陽・霞,武、纯夏、悠阳、霞,contextual,本作；详见使用限制,selected-photonmelodies,144,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
武・美琴・慧,武、美琴、慧,contextual,本作；详见使用限制,selected-photonmelodies,145,provisional-selected,,仅限完整【说话人】字段；不得用作正文子串替换；来自上一轮暂定专表，不是历史全量基线。
