jp,cn,context
くぁｗせｄｒｆｔｇｙふじこｌｐ,くぁｗせｄｒｆｔｇｙふじこｌｐ（日语键盘乱按）,憧憬／再诞；用户审定：保留原键盘乱按文本，并加括号说明“日语键盘乱按”。；来源 pm-ar-table:338。仅作语境审校参考，不自动替换。
こむら返り,小腿抽筋,憧憬／再诞；采用日常中文“小腿抽筋”，不使用过度医学化、且带日式句尾残留的“腓肠肌痉挛也”。；来源 pm-ar-table:255。仅作语境审校参考，不自动替换。
ご先祖様,老祖宗,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:245。仅作语境审校参考，不自动替换。
さよならジュピター,"再见了,木星",憧憬／再诞；采用小松左京作品已见中文书名《再见了，木星》，同时与本段连续木星双关完全吻合。；来源 pm-ar-table:129。仅作语境审校参考，不自动替换。
しまくりスト,彻底斯特,时空的欠片；本篇审定（文字游戏） | 第二遍行级证据（1条）；来源 pm-shard-table:301。仅作语境审校参考，不自动替换。
しりとり,接龙,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:182。仅作语境审校参考，不自动替换。
たけるさん,小武哥,时空的欠片；用户审定（人物称谓）；来源 pm-shard-table:43。仅作语境审校参考，不自动替换。
なっくるぼんばー,铁拳轰炸,时空的欠片；本篇审定（节目梗） | 第二遍行级证据（1条）；来源 pm-shard-table:302。仅作语境审校参考，不自动替换。
にゃーむ子,喵姆子,时空的欠片；本篇审定（戏仿专名） | 第二遍行级证据（2条）；来源 pm-shard-table:164。仅作语境审校参考，不自动替换。
ぶらりスト,闲逛主义者,时空的欠片；语境型；本篇审定；派生词形依语境作“闲逛达人／闲逛家／闲逛模式” | 第二遍行级证据（1条）；来源 pm-shard-table:104。仅作语境审校参考，不自动替换。
まぴ子,玛皮子,时空的欠片；本篇审定（戏仿专名） | 第二遍行级证据（1条）；来源 pm-shard-table:303。仅作语境审校参考，不自动替换。
まりも,麻理茉,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；本篇权威人物名证据；まりもちゃん按称谓译“小麻” | 平假名角色名，译名需与既有系列术语统一。; Teacher name.; Extracted from current cn_text speaker brackets.; Teacher name per existing project usage. | 第二遍行级证据（1条） | 最终全文说话人标签：334/334；来源 pm-shard-table:19。仅作语境审校参考，不自动替换。
みちる,美知留,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：123/123；来源 pm-shard-table:37。仅作语境审校参考，不自动替换。 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:43。仅作语境审校参考，不自动替换。
みちるん,小美知留,憧憬／再诞；用户审定：保留亲昵称呼及与“るんるん”的押韵，固定译为“小美知留”。；来源 pm-ar-table:334。仅作语境审校参考，不自动替换。
みちる・水月,美知留、水月,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：1/1；来源 pm-shard-table:304。仅作语境审校参考，不自动替换。
みゅうきぃ,缪琪,时空的欠片；本篇审定（戏仿专名） | 第二遍行级证据（1条）；来源 pm-shard-table:246。仅作语境审校参考，不自动替换。
やおい,耽美,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:247。仅作语境审校参考，不自动替换。
るんるん,乐悠悠,憧憬／再诞；用户审定：按愉快语气及与“みちるん”的押韵关系，固定译为“乐悠悠”。；来源 pm-ar-table:330。仅作语境审校参考，不自动替换。
アイヒベルガー,艾希贝尔格,憧憬／再诞；按全篇姓名与军衔命中统一。；来源 pm-ar-table:17。仅作语境审校参考，不自动替换。
アイヒベルガー少佐,艾希贝尔格少校,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；按中文军衔体系统一少佐为少校，并与全文说话人标签一致。；来源 pm-ar-table:31。仅作语境审校参考，不自动替换。
アドレナリン,肾上腺素,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:305。仅作语境审校参考，不自动替换。
アナウンス,广播,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；系统广播说话人标签统一。；来源 pm-ar-table:250。仅作语境审校参考，不自动替换。
アラスカ,阿拉斯加,憧憬／再诞；采用通行中文地名。；来源 pm-ar-table:143。仅作语境审校参考，不自动替换。
アリ / 蟻,可以……可“蚁”？,憧憬／再诞；日文利用アリ（可以）与蟻（蚂蚁）同音转折，中文无法原样复现；需在可懂性与突兀喜剧之间取舍。；来源 pm-ar-table:302。仅作语境审校参考，不自动替换。
アルジェリア,阿尔及利亚,憧憬／再诞；采用通行中文国名。；来源 pm-ar-table:144。仅作语境审校参考，不自动替换。
アルタイル・ビーチ,牛郎星海滩,时空的欠片；本篇审定 | 第二遍行级证据（4条）；来源 pm-shard-table:112。仅作语境审校参考，不自动替换。
アルフレッド・ウォーケン,阿尔弗雷德·沃肯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；主库术语表 | 公共总表；须以本篇最终正文核对适用语境 | 第二遍行级证据（1条）；来源 pm-shard-table:183。仅作语境审校参考，不自动替换。
アルボラン海,阿尔沃兰海,憧憬／再诞；采用现实地理通行中文名。；来源 pm-ar-table:145。仅作语境审校参考，不自动替换。
アロハオエ,阿罗哈奥埃,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:248。仅作语境审校参考，不自动替换。
アンダースコート,运动安全裤,憧憬／再诞；采用中文运动服饰中的自然称呼“运动安全裤”；同时保留后句“又不是内裤”的喜剧对照。；来源 pm-ar-table:182。仅作语境审校参考，不自动替换。
イタリア,意大利,憧憬／再诞；采用通行中文国名。；来源 pm-ar-table:146。仅作语境审校参考，不自动替换。
イメージ,印象,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:44。仅作语境审校参考，不自动替换。
イリーナ,伊莉娜,时空的欠片；语境型；第二遍行级证据（9条）；来源 pm-shard-table:95。仅作语境审校参考，不自动替换。
イリーナ・ピアティフ,伊莉娜·皮亚蒂芙,时空的欠片；本篇审定；来源 pm-shard-table:306。仅作语境审校参考，不自动替换。
イルフィ,伊尔菲,憧憬／再诞；作为伊尔芙莉德的固定昵称音译为“伊尔菲”，与全名区分并保持亲密关系。；来源 pm-ar-table:37。仅作语境审校参考，不自动替换。
イルフリーデ,伊尔芙莉德,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；人名，优先音译。; Used in speaker brackets.; Extracted from current cn_text speaker brackets.；来源 pm-ar-table:303。仅作语境审校参考，不自动替换。
イルフリーデ・フォン・フォイルナー,伊尔芙莉德·冯·福伊尔纳,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
イルマ,伊尔玛,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；本篇审定 | 说话人名/称谓，需要固定。; Teslef teacher's first name/speaker name.; Extracted from current cn_text speaker brackets.; Teacher name used in batch042-043. | 最终全文说话人标签：184/184；来源 pm-shard-table:31。仅作语境审校参考，不自动替换。
イルマ・テスレフ,伊尔玛·特斯列夫,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
イルマ・ピアティフ,伊尔玛、皮亚蒂芙,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：16/16；来源 pm-shard-table:85。仅作语境审校参考，不自动替换。
イルマ・ピアティフ・ウォーケン,伊尔玛、皮亚蒂芙、沃肯,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。 | 最终全文说话人标签：3/3；来源 pm-shard-table:212。仅作语境审校参考，不自动替换。
インド,印度,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
インナー,贴身衣物,时空的欠片；语境型；第二遍行级证据（2条）；来源 pm-shard-table:184。仅作语境审校参考，不自动替换。
インペリアル,帝国,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:307。仅作语境审校参考，不自动替换。
ウェア,滑雪服,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:126。仅作语境审校参考，不自动替换。
ウェアの下,滑雪裤,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:249。仅作语境审校参考，不自动替换。
ウォーケン,沃肯,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；说话人名/称谓，需要固定。; Teacher name; Takeru calls him 少佐 as part of the joke.; Extracted from current cn_text speaker brackets.; Teacher name used in batch042-043. | 公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：426/426；来源 pm-shard-table:18。仅作语境审校参考，不自动替换。
ウォーケン先生,沃肯老师,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:52。仅作语境审校参考，不自动替换。
ウォータースライダー,水上滑梯,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:165。仅作语境审校参考，不自动替换。
ウルフブレイズ,焰狼,憧憬／再诞；英语风格片假名呼号按意象意译，与漢字部队名焰狼统一识别。；来源 pm-ar-table:257。仅作语境审校参考，不自动替换。
エドワーズ,爱德华兹,憧憬／再诞；按原文简称统一音译为“爱德华兹”，不擅自展开未出现的全称。；来源 pm-ar-table:331。仅作语境审校参考，不自动替换。
エニグマ,恩尼格玛,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エリア,区域,时空的欠片；语境型；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:138。仅作语境审校参考，不自动替换。
エレメント,双机编队,憧憬／再诞；沿用仓库既有军事文本的固定译法，明确其为两机编组，并与后续“最小战斗单位是两机一组”的说明一致。；来源 pm-ar-table:167。仅作语境审校参考，不自动替换。
エロ大臣,色鬼大臣,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:156。仅作语境审校参考，不自动替换。
エロ大臣タケル爆誕,色鬼大臣武横空出世,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:213。仅作语境审校参考，不自动替换。
エロ大臣タケル爆誕シリーズ,《色鬼大臣武横空出世》系列,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:308。仅作语境审校参考，不自动替换。
エロ大臣爆誕,色鬼大臣横空出世,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:309。仅作语境审校参考，不自动替换。
エントリー,登记,时空的欠片；语境型；第二遍行级证据（2条）；来源 pm-shard-table:79。仅作语境审校参考，不自动替换。
オッケー,OK,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:45。仅作语境审校参考，不自动替换。
オベロン,奥伯龙,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
オペレーター,操作员,时空的欠片；公共总表；须以本篇最终正文核对适用语境 | 最终全文说话人标签：5/5；来源 pm-shard-table:166。仅作语境审校参考，不自动替换。 | 憧憬／再诞；舰桥职务固定为操作员。；来源 pm-ar-table:222。仅作语境审校参考，不自动替换。
オペレーターＡ,操作员A,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；保留岗位字母编号。；来源 pm-ar-table:223。仅作语境审校参考，不自动替换。
オペレーターＢ,操作员B,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；保留岗位字母编号。；来源 pm-ar-table:224。仅作语境审校参考，不自动替换。
オペレーターＣ,操作员C,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；保留岗位字母编号。；来源 pm-ar-table:225。仅作语境审校参考，不自动替换。
オルタネイティヴ４,Alternative 4,憧憬／再诞；保留系列计划名与数字。；来源 pm-ar-table:234。仅作语境审校参考，不自动替换。
オルタネイティヴ５,Alternative 5,憧憬／再诞；保留系列计划名与数字。；来源 pm-ar-table:235。仅作语境审校参考，不自动替换。
オルランディ,奥兰迪,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:46。仅作语境审校参考，不自动替换。
オーストラリア,澳大利亚,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:310。仅作语境审校参考，不自动替换。
カイゼル,凯泽尔,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:145。仅作语境审校参考，不自动替换。
カジノ,赌场,时空的欠片；本篇审定 | 第二遍行级证据（7条）；来源 pm-shard-table:96。仅作语境审校参考，不自动替换。
カジノチップ,赌场筹码,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:311。仅作语境审校参考，不自动替换。
カンフーの大スター,功夫巨星,憧憬／再诞；原文未直接点名，保留泛指“功夫巨星”，不擅自补入人物姓名。；来源 pm-ar-table:172。仅作语境审校参考，不自动替换。
ギャラ,出场费,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:250。仅作语境审校参考，不自动替换。
ギャンブル,赌博,时空的欠片；第二遍行级证据（2条）；来源 pm-shard-table:214。仅作语境审校参考，不自动替换。
クラス,班级,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:47。仅作语境审校参考，不自动替换。
クラスのみんな,全班同学,时空的欠片；语境型；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：4/7；其他标签：全班(3)；来源 pm-shard-table:146。仅作语境审校参考，不自动替换。
クラスの男子,班上的男生,时空的欠片；语境型；说话人名/称谓，需要固定。; Extracted from current cn_text speaker brackets. | 最终全文说话人标签：4/7；其他标签：班里的男生(3)；来源 pm-shard-table:147。仅作语境审校参考，不自动替换。
クリプティッド,神秘动物,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:251。仅作语境审校参考，不自动替换。
クワドラプルアクセル,四周半阿克塞尔跳,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:312。仅作语境审校参考，不自动替换。
グランド・ゼロ,Ground Zero,憧憬／再诞；原文为英文式固有表达，保留拉丁拼写。；来源 pm-ar-table:110。仅作语境审校参考，不自动替换。
グリペン,鹰狮,憧憬／再诞；采用Saab JAS 39 Gripen在中文中的通行译名“鹰狮”。；来源 pm-ar-table:184。仅作语境审校参考，不自动替换。
グーフォ,古福,憧憬／再诞；按日语发音统一音译为“古福”。；来源 pm-ar-table:341。仅作语境审校参考，不自动替换。
ケイジ,Keiji,时空的欠片；本篇审定（听写形式）；来源 pm-shard-table:313。仅作语境审校参考，不自动替换。
ゲルハルト・ララーシュタイン / 音速の男爵,格哈德·拉拉施泰因 / 音速男爵,憧憬／再诞；与本篇前序场景既定译名统一；本句 JP 不含“フォン”，不从其他变体擅自补入。；来源 pm-ar-table:100。仅作语境审校参考，不自动替换。
ゲレンデ,雪道,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:105。仅作语境审校参考，不自动替换。
ゲーム,局,憧憬／再诞；本篇均指壁球比赛局数。；来源 pm-ar-table:194。仅作语境审校参考，不自动替换。
ゲームガイ,Game Guy,时空的欠片；本篇审定；来源 pm-shard-table:91。仅作语境审校参考，不自动替换。
コスト,成本,时空的欠片；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:139。仅作语境审校参考，不自动替换。
コナソ,《柯楠》,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:252。仅作语境审校参考，不自动替换。
コブ,雪包,时空的欠片；本篇审定；コブ斜面按滑雪术语作“猫跳雪道” | 第二遍行级证据（1条）；来源 pm-shard-table:185。仅作语境审校参考，不自动替换。
コマンドポスト,指挥所,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:48。仅作语境审校参考，不自动替换。
コルモスキン,科尔莫斯金,憧憬／再诞；与 GIS 并列出现的专名，按日语读音统一音译为“科尔莫斯金”。；来源 pm-ar-table:337。仅作语境审校参考，不自动替换。
コンクリ履く,套上水泥鞋,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:314。仅作语境审校参考，不自动替换。
ゴンドラ,吊厢,时空的欠片；本篇审定 | 第二遍行级证据（5条）；来源 pm-shard-table:167。仅作语境审校参考，不自动替换。
ゴーストハウンド,幽灵猎犬,憧憬／再诞；特殊任务部队名采用有识别度的意译。；来源 pm-ar-table:258。仅作语境审校参考，不自动替换。
ゴールドメン,戈德曼,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:49。仅作语境审校参考，不自动替换。
ゴールドメン局長,戈德曼局长,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:50。仅作语境审校参考，不自动替换。
サイブリット,Cybrid,憧憬／再诞；与サイブリッド合并，统一为 Cybrid。；来源 pm-ar-table:248。仅作语境审校参考，不自动替换。
サイブリッド,Cybrid,憧憬／再诞；核心身体改造技术名，统一保留拉丁拼写 Cybrid。；来源 pm-ar-table:242。仅作语境审校参考，不自动替换。
サバゲー,生存战,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:86。仅作语境审校参考，不自动替换。
ザウバー,扎乌伯,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；本篇审定 | 说话人名/称谓，需要固定。 | 最终全文说话人标签：232/232；来源 pm-shard-table:30。仅作语境审校参考，不自动替换。
シェトランド諸島 / メインランド島 / ホールセイ島,设得兰群岛 / 梅恩兰岛 / 沃尔赛岛,憧憬／再诞；沿用现有地名译法并保持三者地理层级；不能把梅恩兰岛当成泛称“大陆岛”。；来源 pm-ar-table:150。仅作语境审校参考，不自动替换。
シェリル,谢丽尔,仅限完整【说话人】字段；不得用作正文子串替换 | 时空的欠片；本篇审定 | 说话人名/称谓，需要固定。 | 最终全文说话人标签：37/37；来源 pm-shard-table:64。仅作语境审校参考，不自动替换。
シベリア,西伯利亚,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:315。仅作语境审校参考，不自动替换。
シミュレーター,模拟器,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:92。仅作语境审校参考，不自动替换。 | 憧憬／再诞；战术机训练设备固定译为模拟器。；来源 pm-ar-table:238。仅作语境审校参考，不自动替换。
シューメイカー・レヴィ彗星,苏梅克-列维彗星,憧憬／再诞；采用中文通行音译“苏梅克-列维”，不沿用旧译“舒梅克列维”。原文未写9号，正文不擅自补数字。；来源 pm-ar-table:158。仅作语境审校参考，不自动替换。
シルヴィオ,西尔维奥,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:51。仅作语境审校参考，不自动替换。
シルヴィオ・オルランディ,西尔维奥·奥兰迪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:52。仅作语境审校参考，不自动替换。
シルヴィオ・宗像中尉,西尔维奥、宗像中尉,仅限完整【说话人】字段；不得用作正文子串替换 | 憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:53。仅作语境审校参考，不自动替换。
ジャミング,干扰,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:120。仅作语境审校参考，不自动替换。
ジョン・ブル,约翰牛,憧憬／再诞；采用中文既有称呼“约翰牛”，并在句中明确指英国人的味觉。；来源 pm-ar-table:173。仅作语境审校参考，不自动替换。
ジーク様 / ジークリンデ様,齐格大人 / 齐格琳德大人,憧憬／再诞；按同一人物的昵称与全名分别固定；様结合贵族上下级与崇敬关系保留为“大人”，不是机械套用。；来源 pm-ar-table:38。仅作语境审校参考，不自动替换。
スウィング・バイ,引力弹弓,憧憬／再诞；采用中文玩家更易理解且准确的“引力弹弓”，不使用生硬少见的旧译“借力飞掠”。；来源 pm-ar-table:231。仅作语境审校参考，不自动替换。
スカッシュ / フェンシング / 水泳,壁球 / 击剑 / 游泳,憧憬／再诞；三项均采用中文通行运动名称，并在三个选项及后续分支中保持一致。；来源 pm-ar-table:195。仅作语境审校参考，不自动替换。
スキューバ,水肺潜水,时空的欠片；语境型；本篇审定；上下文明确时简称“潜水” | 第二遍行级证据（1条）；来源 pm-shard-table:121。仅作语境审校参考，不自动替换。
スキンシップ,肢体接触,憧憬／再诞；按中文自然说法译为“肢体接触”，不用含混外来语或机械音译。；来源 pm-ar-table:275。仅作语境审校参考，不自动替换。
スキー,滑雪,时空的欠片；语境型；カタカナ/英文式词，按规则优先判断是否适合意译。 | 第二遍行级证据（1条）；来源 pm-shard-table:49。仅作语境审校参考，不自动替换。
スキーパンツ,滑雪裤,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:316。仅作语境审校参考，不自动替换。
ストライクゾーン,好球区,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:317。仅作语境审校参考，不自动替换。
スネイク軍団,斯内克军团,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:186。仅作语境审校参考，不自动替换。
スパイフィルター,间谍过滤器,憧憬／再诞；作为反复出现的装置/程序名称固定，不与一般筛查混用。；来源 pm-ar-table:166。仅作语境审校参考，不自动替换。
スロット,老虎机,时空的欠片；第二遍行级证据（2条）；来源 pm-shard-table:187。仅作语境审校参考，不自动替换。
スロットマシン,老虎机,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:318。仅作语境审校参考，不自动替换。
スーダン,苏丹,憧憬／再诞；采用通行中文国名。；来源 pm-ar-table:147。仅作语境审校参考，不自动替换。
スーツ,西装,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:253。仅作语境审校参考，不自动替换。
スーパーハイデッカー,超级高地板,时空的欠片；本篇审定；来源 pm-shard-table:319。仅作语境审校参考，不自动替换。
スーパー無現鬼道流・噴射気流殺,超级无现鬼道流·喷射气流杀,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:320。仅作语境审校参考，不自动替换。
セキュリティ,安保,时空的欠片；语境型；第二遍行级证据（2条）；来源 pm-shard-table:127。仅作语境审校参考，不自动替换。
セプテントリオン,塞普滕特里翁,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
センサー,传感器,时空的欠片；语境型；公共总表；须以本篇最终正文核对适用语境；来源 pm-shard-table:97。仅作语境审校参考，不自动替换。
ゼロ,零,时空的欠片；语境型；第二遍行级证据（1条）；来源 pm-shard-table:73。仅作语境审校参考，不自动替换。
ソウルフード,家乡味,憧憬／再诞；按日语语境译为自然中文“家乡味”，不用英语直译腔“灵魂食物”。；来源 pm-ar-table:174。仅作语境审校参考，不自动替换。
ソリ,雪橇,时空的欠片；语境型；第二遍行级证据（3条）；来源 pm-shard-table:48。仅作语境审校参考，不自动替换。
ソ連,苏联,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
タイフーン,台风,本作原文命中；CRsa 补漏审核范围；2026-09-04 CRsa 术语审核记录；缩写和专名均须结合原注语境。；来源 photon-native:reusable_terms:1。仅作语境审校参考，不自动替换。
タキシード,燕尾服,时空的欠片；语境型；本篇审定；服装泛指语境可作“晚礼服” | 第二遍行级证据（2条）；来源 pm-shard-table:215。仅作语境审校参考，不自动替换。
タクティクス横臥ＤＳ / 戦術的横臥ダイレクトスキャンティー,战术横卧 DS / 战术横卧·直接扫裙底(DS),憧憬／再诞；保留原文明确出现的 DS 缩写；展开形式译出“直接扫裙底”的笑点，并在括号中回扣 DS。；来源 pm-ar-table:171。仅作语境审校参考，不自动替换。
タケル,武,时空的欠片；语境型；カタカナ/英文式词，按规则优先判断是否适合意译。 | 第二遍行级证据（13条）；来源 pm-shard-table:14。仅作语境审校参考，不自动替换。
タケルちゃん,小武,时空的欠片；用户审定（人物称谓）；来源 pm-shard-table:29。仅作语境审校参考，不自动替换。
タケルミコトヌス,武美琴努斯,时空的欠片；本篇审定 | 第二遍行级证据（1条）；来源 pm-shard-table:321。仅作语境审校参考，不自动替换。
ダブルブッキング,脚踏两条船,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:322。仅作语境审校参考，不自动替换。
チェックのビキニ,格纹比基尼,时空的欠片；本篇审定 | 第二遍行级证据（2条）；来源 pm-shard-table:254。仅作语境审校参考，不自动替换。
チキン・ダイバーズ,小鸡潜降兵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
チラシ,传单,时空的欠片；第二遍行级证据（1条）；来源 pm-shard-table:323。仅作语境审校参考，不自动替换。
チーム,小队,憧憬／再诞；逐行复核后固定篇章内写法；说话人标签与正文称呼一并反查。；来源 pm-ar-table:54。仅作语境审校参考，不自动替换。
ツインジュピター / ロシュの限界 / ホットジュピター / ジュピターゴースト,双木星 / 洛希极限 / 热木星 / 木星鬼影,憧憬／再诞；洛希极限、热木星采用通行中文术语；Jupiter’s Ghost确有既有天文称呼，正文统一“木星鬼影”；双木星保留清十郎临时命名的直观双关。；来源 pm-ar-table:159。仅作语境审校参考，不自动替换。
ツェルベルス,刻耳柏洛斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文 | 憧憬／再诞；与大队全称同源，统一采用Cerberus的通行中文音译。；来源 pm-ar-table:271。仅作语境审校参考，不自动替换。
